NO,시군구,단지명,도로명,위도,경도,bus_count_500m,CCTV_count,school_count,streetlight_count,safety_score_raw,safety_score_normalized,safety_score,동,cluster
6541,서울특별시 광진구 구의동,베스트 트레드빌,자양로18길 96,37.53851943,127.0887969,13,90,8,0,0.688877559,0.285811537,64.29057683,구의동,0
6542,서울특별시 성북구 장위동,석계역 한일노벨리아시티,화랑로 299,37.61364718,127.0610192,2,258,0,47,0.654820143,0.271582703,63.57913517,장위동,0
6545,서울특별시 중구 황학동,블루카운티,난계로17길 30-12,37.5699676,127.0218428,4,211,43,0,0.746012191,0.30968179,65.48408948,황학동,0
6550,서울특별시 중구 황학동,신당역올리브2,퇴계로 457,37.56562996,127.0226329,9,334,16,0,1.031588825,0.428992729,71.44963644,황학동,0
6552,서울특별시 은평구 불광동,디앤제이하우징,통일로78길 11-7,37.61833979,126.9233656,16,299,18,0,1.236456752,0.514584412,75.72922058,불광동,0
6558,서울특별시 중랑구 면목동,봄작시티 50,봉우재로 50,37.59056925,127.0788896,12,338,2,6,1.0966771,0.456185931,72.80929656,면목동,0
6559,서울특별시 동대문구 장안동,태솔타워,장한로26가길 86,37.56825704,127.0698859,0,197,2,11,0.399193656,0.164784623,58.23923117,장안동,0
6560,서울특별시 동대문구 장안동,장안동 썬앤빌 시그니처,장한로22길 13,37.56966037,127.0711904,0,180,2,15,0.376219476,0.155186251,57.75931254,장안동,0
6573,서울특별시 성동구 행당동,성동샤르망,고산자로 284,37.56492326,127.0368107,2,371,2,24,0.824799321,0.342598231,67.12991154,행당동,0
6581,서울특별시 송파구 잠실동,뜨레피움2차,백제고분로19길 4,37.50513958,127.0866808,8,197,0,8,0.680724753,0.282405379,44.88418826499999,잠실동,1
6582,서울특별시 송파구 잠실동,동명하이텔,삼전로 79,37.50578594,127.0888877,9,197,5,0,0.724569003,0.300723049,45.525306729,잠실동,1
6596,서울특별시 관악구 신림동,미성동오피스텔,난곡로 300,37.48076258,126.9149524,13,281,5,0,1.029386554,0.428072643,49.982542491000004,신림동,1
6603,서울특별시 강남구 대치동,대치트레비스타 101동,선릉로90길 68,37.50544252,127.0547185,8,290,0,0,0.836280136,0.347394796,47.158817846,대치동,1
6616,서울특별시 영등포구 당산동6가,써미트빌,당산로50길 18,37.53405968,126.9043125,12,148,2,104,0.954589218,0.396823096,48.888808353,당산동6가,1
6619,서울특별시 관악구 봉천동,메카오피스텔,남부순환로220길 35,37.4796605,126.9517523,14,290,2,0,1.068977461,0.444613311,50.561465878,봉천동,1
6627,서울특별시 영등포구 당산동4가,엠케이 더 유앤미,당산로38길 15,37.5286416,126.8999594,11,153,2,0,0.702891081,0.29166624,45.208318386,당산동4가,1
6633,서울특별시 관악구 봉천동,Q타워,남부순환로 1817,37.48164748,126.9521617,15,337,1,0,1.188709741,0.494636208,52.312267294,봉천동,1
6634,서울특별시 관악구 봉천동,(1663-10),남부순환로 1878,37.47884518,126.958133,7,384,3,0,0.988037085,0.410797266,49.37790430999999,봉천동,1
6642,서울특별시 관악구 신림동,에르스떼,봉천로 270,37.48773334,126.9308579,14,471,0,0,1.395682502,0.581107269,55.338754421999994,신림동,1
6643,서울특별시 관악구 봉천동,(1565-13),쑥고개로 93,37.47942097,126.9470272,11,280,28,0,1.062936072,0.442089282,50.473124856,봉천동,1
6666,서울특별시 영등포구 영등포동2가,여의샛강 소미골드5차,영등포로51길 12,37.51986308,126.9104446,15,220,0,190,1.375436453,0.572648681,55.042703841999995,영등포동2가,1
6691,서울특별시 영등포구 영등포동7가,더 퍼스트,국회대로 663-3,37.52568644,126.9079875,10,192,2,117,0.989921007,0.411584349,49.405452221999994,영등포동7가,1
6706,서울특별시 강서구 등촌동,신도그랑피아오피스텔,공항대로53가길 49,37.55557549,126.8587409,7,106,2,0,0.466810138,0.193034084,59.65170422,등촌동,0
6709,서울특별시 서대문구 대현동,파라타워,신촌로 163,37.55700493,126.9441124,12,296,4,0,1.01528752,0.422182213,71.10911066,대현동,0
6712,서울특별시 서대문구 대현동,슈테리움 오피스텔,이화여대3길 35,37.55768933,126.9437555,13,291,4,0,1.043190507,0.43383979,71.69198951,대현동,0
6718,서울특별시 마포구 노고산동,(54-63),신촌로16길 22,37.55472535,126.9345355,17,245,3,0,1.101727546,0.458295954,72.91479772,노고산동,0
6720,서울특별시 마포구 아현동,트렌빌,신촌로32길 3-8,37.55684273,126.9536338,7,201,72,0,0.977441636,0.406370598,70.31852989,아현동,0
6732,서울특별시 마포구 신수동,금강오피스텔,창전로 72,37.54874406,126.9330747,4,163,7,6,0.497905319,0.206025327,60.30126633,신수동,0
6745,서울특별시 강서구 화곡동,VIP HUBTEL,화곡로 176-10,37.54132618,126.8414006,15,268,1,0,1.060525254,0.441082067,50.437872345,화곡동,1
6747,서울특별시 강서구 화곡동,서안EZtel,화곡로 185,37.54252756,126.8417313,17,269,2,0,1.141539945,0.47492916,51.622520593,화곡동,1
6748,서울특별시 강서구 화곡동,강서오피스텔,까치산로 88-9,37.54606443,126.8484648,4,254,3,0,0.634954928,0.263283224,44.214912825999996,화곡동,1
6754,서울특별시 강서구 화곡동,(24-106),화곡로42길 24,37.54611029,126.8467194,6,270,2,0,0.734288794,0.304783877,45.667435681,화곡동,1
6767,서울특별시 마포구 합정동,일신오피스텔,양화진길 41,37.54683744,126.9123887,10,132,1,166,0.979124674,0.407073753,70.35368767,합정동,0
6797,서울특별시 강동구 천호동,(169-1),진황도로31길 19,37.53847895,127.1334428,6,314,0,0,0.806482608,0.334945699,66.74728497,천호동,0
6798,서울특별시 강동구 성내동,브라운스톤천호,천호대로 1006,37.53797886,127.1237925,14,294,1,8,1.088849949,0.452915829,72.64579144,성내동,0
6802,서울특별시 강동구 길동,강동역에스케이허브,천호대로 1107,37.53554884,127.1349223,9,252,0,0,0.802877499,0.333439522,66.67197611,길동,0
6803,서울특별시 강동구 천호동,(287-5),상암로12길 8,37.54936039,127.1281694,6,258,0,20,0.745486351,0.309462099,65.47310496,천호동,0
6812,서울특별시 송파구 방이동,피스티오피스텔,위례성대로2길 10,37.51621558,127.1132368,10,127,0,0,0.607850944,0.251959462,43.818581169999995,방이동,1
6823,서울특별시 강동구 강일동,강일임페리얼타워,아리수로93길 19,37.56538147,127.1741167,17,41,4,0,0.727520834,0.301956294,65.09781468,강일동,0
6839,서울특별시 강동구 천호동,선경오피스텔,진황도로29길 8,37.53851545,127.1321554,12,305,0,0,1.0129132,0.421190247,71.05951237,천호동,0
6840,서울특별시 강동구 천호동,정암하이빌,진황도로 66,37.53717159,127.1338501,7,293,0,0,0.804661656,0.334184925,66.70924623,천호동,0
6843,서울특별시 영등포구 영등포동7가,넥스빌Ⅱ,국회대로54길 15-3,37.52412577,126.9083868,10,234,2,108,1.048579459,0.436091238,50.263193343999994,영등포동7가,1
6857,서울특별시 구로구 구로동,(1132-46),디지털로32가길 81,37.48006367,126.8970646,16,264,1,0,1.090285988,0.453515791,50.873052685,구로동,1
6861,서울특별시 구로구 고척동,드어반트라움,경서로 62-6,37.50227075,126.8598835,5,215,3,0,0.599694545,0.248551803,62.42759016,고척동,0
6871,서울특별시 영등포구 영등포동6가,유경오피스텔,영신로40길 20,37.52092793,126.9036256,15,246,1,2,1.023958591,0.425804897,49.903171381,영등포동6가,1
6876,서울특별시 금천구 시흥동,위드 비엠,시흥대로59길 9,37.45339858,126.9002765,23,251,1,0,1.326477313,0.552194063,77.60970315,시흥동,0
6886,서울특별시 금천구 독산동,헤리움팰리스,독산로101길 46,37.4770705,126.9029984,11,337,24,0,1.149733569,0.478352371,73.91761853,독산동,0
6890,서울특별시 구로구 오류동,그랑프리,경인로 193-17,37.49587988,126.8419367,6,342,1,0,0.86327301,0.358672137,67.93360684,오류동,0
6893,서울특별시 구로구 구로동,예성유토피아,도림천로 452,37.48537435,126.89952,16,326,2,56,1.33074484,0.553976991,54.389194698999994,구로동,1
6902,서울특별시 중구 황학동,골드캐슬Ⅲ,난계로21길 39,37.57023557,127.0212346,5,200,107,0,1.068273259,0.444319102,72.21595512,황학동,0
6906,서울특별시 광진구 자양동,드림타운,아차산로 312,37.53774586,127.0773479,0,51,26,0,0.218856282,0.0894415496,54.47207748,자양동,0
6923,서울특별시 성동구 도선동,J&J빌딩,무학로2길 32,37.56324665,127.0332676,7,451,1,24,1.154604096,0.480387226,74.01936129,도선동,0
6927,서울특별시 동대문구 전농동,힐스테이트 청량리 더퍼스트,왕산로36길 6,37.57924086,127.0435015,13,245,6,0,0.9672812,0.402125674,70.10628368,전농동,0
6928,서울특별시 성북구 동선동1가,동선아르텔,동소문로24길 32,37.59228017,127.018663,8,235,4,0,0.753198131,0.312684,65.63420002,동선동1가,0
6930,서울특별시 중랑구 면목동,다원빌,봉우재로 154,37.59328037,127.0899398,13,351,1,0,1.140334751,0.474425642,73.72128212,면목동,0
6938,서울특별시 중랑구 상봉동,이안채S타워A,면목로94길 13,37.59533645,127.086653,9,308,1,0,0.911684794,0.378898075,68.94490375,상봉동,0
6940,서울특별시 영등포구 당산동3가,레스트힐,양산로 155,37.52373693,126.9003039,14,256,1,0,1.001040582,0.416229991,49.56804969899999,당산동3가,1
6943,서울특별시 영등포구 여의도동,리버타워,63로 36,37.51941022,126.9386261,11,47,1,204,0.940179271,0.390802771,48.678096970999995,여의도동,1
6944,서울특별시 관악구 봉천동,EDU-TAINER'S 오피스텔,낙성대로 29,37.47581684,126.9592985,5,374,1,0,0.88552917,0.367970528,47.878968487,봉천동,1
6945,서울특별시 관악구 봉천동,해주타워,봉천로 466,37.48197108,126.9516156,13,349,2,0,1.141392768,0.474867671,51.620368471,봉천동,1
6960,서울특별시 관악구 봉천동,봉천오피스텔,솔밭로2길 16,37.47780402,126.9634424,6,316,5,0,0.834065644,0.346469604,47.12643614,봉천동,1
6962,서울특별시 영등포구 여의도동,여의도 프리베로 오피스텔,국회대로66길 19,37.52831551,126.9196346,14,26,0,14,0.599111722,0.248308306,43.690790717,여의도동,1
6966,서울특별시 서초구 서초동,에피소드 강남 262,강남대로 299,37.48972433,127.0309937,19,262,15,0,1.264974771,0.526498943,53.427462991,서초동,1
6968,서울특별시 관악구 신림동,푸리마타운,관천로 38,37.48339052,126.9274684,9,401,0,0,1.07968168,0.449085422,50.717989755999994,신림동,1
6978,서울특별시 관악구 신림동,주식회사 씨앤에이레지던스,신림로65길 15-8,37.48486869,126.9286205,12,352,0,0,1.100227271,0.457669155,51.018420439,신림동,1
6996,서울특별시 은평구 응암동,대원아크로빌,은평로4길 12-3,37.59809848,126.9167878,15,337,20,0,1.279406406,0.532528329,76.62641646,응암동,0
7006,서울특별시 마포구 서교동,에덴 팰리스 오피스텔,잔다리로 108,37.55673211,126.9146074,11,131,6,0,0.681114699,0.282568295,64.12841474,서교동,0
7018,서울특별시 강서구 화곡동,아델리아ll,까치산로11길 16,37.54541134,126.8461953,5,263,2,0,0.684092852,0.283812536,44.93343876,화곡동,1
7024,서울특별시 서대문구 대현동,이대역 STARGATE,신촌로 169-6,37.55712148,126.9448084,11,270,2,0,0.920247384,0.382475436,69.12377179,대현동,0
7026,서울특별시 마포구 동교동,마젤란21 오피스텔,양화로 175,37.55773907,126.9243966,13,208,1,0,0.874677048,0.363436625,68.17183124,동교동,0
7037,서울특별시 강서구 화곡동,(901-5),강서로5가길 40,37.5292125,126.8458205,6,344,1,13,0.894962896,0.371911841,48.016914421,화곡동,1
7041,서울특별시 서대문구 대현동,이대프리젠#1,이화여대3길 28,37.5580729,126.9441629,12,271,2,0,0.959296848,0.398789895,69.93949473,대현동,0
7048,서울특별시 은평구 응암동,(122-6),불광천길 510-1,37.59658838,126.9162157,17,335,19,0,1.345300841,0.560058337,78.00291684,응암동,0
7054,서울특별시 강서구 염창동,루나클래식2,공항대로81길 6,37.54751399,126.8767575,7,377,1,72,1.120420948,0.466105863,73.30529316,염창동,0
7056,서울특별시 양천구 목동,한울팰리스,등촌로 206,37.54807225,126.8635671,2,440,7,0,0.925206316,0.384547226,69.2273613,목동,0
7075,서울특별시 중구 순화동,덕수궁롯데캐슬,서소문로9길 28,37.56359135,126.9703713,14,152,11,21,0.900759472,0.37433359,68.71667948,순화동,0
7076,서울특별시 성동구 성수동1가,서울숲 프라임 베타,상원8길 14,37.54939341,127.0495803,5,213,0,97,0.790390541,0.328222602,66.41113008,성수동1가,0
