NO,시군구,단지명,도로명,위도,경도,bus_count_300m,CCTV 300m 카메라 대수,300m 학교 수,반경 300m 가로등 개수,,bus_count_500m,CCTV 카메라 대수,500m 학교 수,반경 500m 가로등 개수
1,서울특별시 광진구 화양동,광진청년생활,동일로30길 31,37.54767784,127.0690852,7,54,0,0,,10,208,1,7
5,서울특별시 동대문구 전농동,청량리 창보 리버리치2,왕산로 192,37.57958111,127.0446124,7,88,0,0,,14,220,6,0
9,서울특별시 종로구 숭인동,블루카운티 숭인Ⅰ,종로62길 23,37.57284261,127.0196495,3,83,73,0,,5,256,107,0
10,서울특별시 종로구 효제동,BS타워,종로35길 12,37.57175793,127.0040863,5,50,1,0,,12,148,1,0
11,서울특별시 성동구 성수동2가,성원상떼뷰오피스텔,아차산로15길 10,37.54369647,127.0625162,3,55,1,0,,6,178,1,0
12,서울특별시 용산구 갈월동,갈월동 에이트리움,한강대로 259,37.54151272,126.972453,6,80,0,0,,14,289,6,0
14,서울특별시 중랑구 망우동,YMS CITY,망우로58길 45,37.5962401,127.0942358,5,122,0,0,,14,265,5,2
15,서울특별시 광진구 구의동,(199-8),아차산로 480,37.54045643,127.0952325,5,21,0,10,,16,65,3,56
16,서울특별시 동대문구 휘경동,회기역 더이스트팰리스,이문로 34,37.59041402,127.0565902,2,124,1,0,,7,309,16,26
17,서울특별시 성북구 동선동4가,벨라미아 오피스텔,동소문로27길 31,37.59572075,127.019985,2,104,21,0,,6,249,21,0
18,서울특별시 동대문구 장안동,공감대6차,답십리로68길 31,37.57119456,127.0697296,0,76,0,0,,2,208,1,0
19,서울특별시 성동구 도선동,한성아펠타워, ,37.56250806,127.034067,2,181,0,12,,6,455,1,24
20,서울특별시 마포구 성산동,벽산상암스마트큐브,월드컵로34길 14,37.56507595,126.9039109,5,35,1,26,,7,132,2,73
21,서울특별시 마포구 성산동,헤리티지 삼영,모래내로1길 8,37.56472675,126.9041619,5,47,1,30,,7,127,3,71
22,서울특별시 강서구 화곡동,포유,화곡로 342,37.55402986,126.8517152,3,66,0,0,,9,150,21,0
23,서울특별시 서대문구 대현동,신촌푸르지오시티,신촌역로 7,37.55742306,126.9425698,8,139,0,0,,16,301,4,0
24,서울특별시 서대문구 대현동,파크준,이화여대3길 14,37.55808698,126.9449778,7,91,1,0,,12,257,2,0
25,서울특별시 강서구 염창동,팔레시움,공항대로 653-9,37.54780804,126.8775018,4,123,0,25,,6,351,0,85
26,서울특별시 양천구 신정동,동문비젼오피스텔,목동서로 287,37.5215244,126.8690876,4,129,2,6,,13,432,7,19
27,서울특별시 마포구 공덕동,블레스하임 3차,만리재로 90,37.54813028,126.9593345,0,119,0,0,,2,309,8,0
28,서울특별시 강서구 등촌동,호성스카이오피스텔,양천로 396,37.56577136,126.8455906,4,16,1,0,,12,67,14,0
29,서울특별시 강서구 등촌동,등촌동 Y HAUS 오피스텔,공항대로59다길 39,37.55337421,126.8658766,3,49,1,0,,10,152,3,0
30,서울특별시 영등포구 신길동,H.Y. 빌딩,영등포로 363,37.51455752,126.9187877,4,106,5,0,,7,285,16,108
31,서울특별시 영등포구 양평동5가,라이즈,양평로22가길 8,37.53882225,126.8935382,4,72,1,0,,6,146,10,87
33,서울특별시 강남구 개포동,대청타워,개포로 623,37.49434798,127.0796159,1,63,6,0,,3,172,7,0
34,서울특별시 영등포구 양평동2가,우남프르미아 오피스텔,영등포로 32,37.52280582,126.8848349,3,75,5,0,,4,185,6,15
36,서울특별시 서초구 서초동,이즈타워,사임당로 178,37.49213357,127.0291016,11,81,0,0,,23,206,12,0
37,서울특별시 영등포구 당산동,여의도 아리스타,버드나루로 129,37.52964089,126.9072382,2,51,2,29,,9,148,2,140
39,서울특별시 서초구 서초동,더 칸톤 서초,효령로55길 10,37.48521056,127.0146552,8,78,0,0,,15,196,1,0
40,서울특별시 영등포구 당산동6가,위더스하임,양평로 4,37.53228696,126.9056503,4,78,1,16,,10,157,1,131
41,서울특별시 강동구 명일동,고덕역 효성해링턴 타워 더퍼스트,고덕로 262,37.5546409,127.1546232,2,25,0,0,,4,67,4,0
42,서울특별시 강동구 천호동,다성 이즈빌,성안로27길 57-18,37.53939439,127.132545,0,141,0,0,,9,322,0,0
43,서울특별시 강동구 천호동,천호동 오피스텔,천호대로163길 29-11,37.5383377,127.1308382,3,114,0,0,,12,285,0,0
46,서울특별시 송파구 방이동,한 스위트 올림픽파크,백제고분로51길 9,37.51606212,127.1142911,5,39,0,0,,10,121,0,0
47,서울특별시 송파구 방이동,잠실파크웨이,올림픽로34길 5-23,37.51659865,127.1116685,6,56,0,0,,10,127,0,0
48,서울특별시 송파구 방이동,동광팰리스,오금로11길 63-13,37.51549563,127.1145108,4,47,0,0,,10,127,0,0
49,서울특별시 강동구 길동,거산 유팰리스,천호대로 1131,37.53478096,127.1372341,5,66,0,0,,13,248,0,0
50,서울특별시 송파구 방이동,잠실 벨솔레 오피스텔,올림픽로34길 5-13,37.51628693,127.1111663,5,66,0,0,,11,127,0,0
51,서울특별시 금천구 독산동,THE PALACE80,벚꽃로12길 5,37.4650453,126.8906697,1,63,1,0,,4,134,1,0
52,서울특별시 영등포구 영등포동2가,여의도 미르웰 한올림 2차 오피스텔,영등포로 247,37.51949642,126.9090868,6,112,0,9,,15,256,0,98
54,서울특별시 구로구 구로동,파인마루오피스텔,구로중앙로18길 17,37.49522048,126.8902204,6,209,3,0,,8,470,10,0
56,서울특별시 강서구 마곡동,마곡 파크뷰 대방디엠시티 오피스텔,마곡동로10길 23,37.56860121,126.8393753,3,40,1,0,,8,100,1,0
57,서울특별시 강서구 마곡동,마곡센트럴대방디엠시티오피스텔,양천로 344,37.56830026,126.8402972,3,46,1,0,,9,100,2,0
58,서울특별시 영등포구 영등포동2가,밀레니엄시티,영등포로 249,37.51929751,126.9091361,6,112,0,11,,15,259,0,99
59,서울특별시 구로구 구로동,퀸즈파크 구일,구일로 130,37.49658922,126.8721445,0,53,1,10,,2,128,6,46
60,서울특별시 구로구 구로동,구로 오네뜨 시티,가마산로 271,37.49644645,126.8902871,6,188,7,0,,7,420,10,0
61,서울특별시 금천구 독산동,금천 롯데캐슬 골드파크 4차,시흥대로 315,37.46105564,126.8968013,3,45,0,0,,10,249,1,0
62,서울특별시 금천구 시흥동,제이에스 245,시흥대로77길 24-5,37.45834599,126.8973729,6,61,1,0,,13,219,1,0
63,서울특별시 영등포구 양평동2가,오목교투웨니퍼스트,선유서로25길 19,37.52432339,126.8837471,2,71,4,7,,4,154,5,23
64,서울특별시 송파구 잠실동,잠실 포레디움,올림픽로8길 4-11,37.51120019,127.0792344,2,38,0,0,,4,105,4,0
65,서울특별시 동대문구 장안동,두리빌딩,장한로27길 29,37.57300302,127.0699072,0,87,0,0,,2,240,0,0
66,서울특별시 성동구 도선동,왕십리역 요진 와이하우스,고산자로 277,37.56445026,127.0358533,0,134,0,22,,4,389,2,28
67,서울특별시 중랑구 상봉동,로젠하임,망우로 275,37.59607996,127.0831313,2,91,1,11,,6,316,1,16
68,서울특별시 중구 황학동,청계리버팰리스A,난계로17길 48,37.56968749,127.0207425,0,86,0,0,,6,217,107,0
69,서울특별시 동대문구 이문동,디크라쎄,이문로 168,37.60149029,127.0622582,0,55,1,0,,0,181,1,24
70,서울특별시 동대문구 답십리동,현대썬앤빌 청계,고미술로 71,37.56616255,127.055151,3,121,1,0,,4,311,1,1
71,서울특별시 동대문구 이문동,다성이즈빌,이문로 197,37.60409304,127.061814,0,75,0,0,,0,197,1,10
72,서울특별시 용산구 원효로3가,용산파크뷰II,원효로 125,37.53376865,126.9571356,6,165,5,11,,9,411,5,25
73,서울특별시 용산구 원효로1가,용산파크뷰,원효로 251,37.54018926,126.9685662,8,149,0,1,,15,372,21,26
74,서울특별시 동대문구 청량리동,힐스테이트 청량리역,왕산로 239,37.58306489,127.0482674,4,44,2,0,,17,181,2,0
75,서울특별시 광진구 자양동,금강태극빌,아차산로 353,37.53725513,127.0820953,3,35,1,0,,4,75,2,0
76,서울특별시 광진구 자양동,건대입구역자이엘라,능동로 87,37.53912385,127.0696836,6,36,0,12,,8,79,25,21
77,서울특별시 광진구 화양동,케이타워 오피스텔 B,동일로30길 23,37.54768983,127.0686,7,70,0,0,,10,222,1,14
78,서울특별시 노원구 상계동,(1131-12),동일로246길 26,37.67809571,127.056313,9,48,0,0,,9,117,0,19
79,서울특별시 동대문구 장안동,더아모르,장한로24길 35,37.57045384,127.0727296,0,49,0,0,,0,155,1,30
80,서울특별시 성동구 용답동,동우리즈힐스,천호대로 380-7,37.56159115,127.0612118,2,60,1,0,,4,152,1,0
82,서울특별시 중랑구 상봉동,한일써너스빌,망우로 346,37.59710331,127.0911814,6,74,0,0,,8,283,0,0
83,서울특별시 강남구 세곡동,강남투엠캐슬,헌릉로569길 3,37.46679291,127.1013349,4,59,0,0,,5,135,1,0
84,서울특별시 서초구 서초동,큐브플러스,사임당로 38,37.48806781,127.0141457,2,77,0,0,,13,208,1,0
87,서울특별시 송파구 잠실동,(249-10),백제고분로19길 4-3,37.50530466,127.0868987,5,86,0,0,,8,191,0,6
88,서울특별시 영등포구 양평동6가,선유도 소미골드Ⅳ,양평로28가길 8,37.54106389,126.8898602,0,59,0,23,,6,129,0,98
90,서울특별시 영등포구 당산동1가,당산빌리지,당산로20길 24,37.52309702,126.8986963,3,114,0,0,,8,209,2,0
91,서울특별시 영등포구 신길동,토마토오피스텔,여의대방로 223,37.50681224,126.9227257,3,69,0,0,,8,148,6,0
93,서울특별시 동작구 상도동,그린시티,상도로26가길 9,37.50371843,126.938464,5,61,1,0,,8,180,2,0
94,서울특별시 관악구 봉천동,JK타워 오피스텔,남부순환로220길 20,37.48039355,126.9514925,8,104,0,0,,13,304,2,0
95,서울특별시 강남구 역삼동,금천빌딩,테헤란로52길 15,37.50314024,127.0479494,3,58,5,0,,8,218,5,0
96,서울특별시 영등포구 당산동,(171-15),버드나루로23길 25,37.52855482,126.9068818,3,71,1,3,,12,149,2,115
98,서울특별시 영등포구 양평동5가,선유도역 마들렌 오피스텔,양평로21다길 14,37.53725451,126.8919568,3,42,0,0,,5,127,9,19
99,서울특별시 영등포구 당산동3가,해라톤,당산로33길 21,37.527604,126.8947727,5,63,0,0,,8,194,1,0
103,서울특별시 구로구 구로동,신도림 명남 더블레스,구로중앙로28다길 12,37.50109185,126.8891167,0,127,6,0,,0,331,8,8
105,서울특별시 강서구 마곡동,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,마곡중앙로 161-11,37.56793668,126.8267322,0,32,0,0,,0,67,1,0
107,서울특별시 구로구 오류동,칸타빌레 9차,경인로 232,37.49698565,126.8464871,2,72,0,7,,8,266,1,36
108,서울특별시 금천구 독산동,동우오피스텔,범안로17길 55,37.46895736,126.8933821,2,61,2,0,,11,233,2,0
109,서울특별시 구로구 구로동,마블힐스,디지털로32가길 104,37.47944996,126.8960963,4,102,1,0,,17,255,1,0
110,서울특별시 영등포구 영등포동3가,WD스퀘어,영중로4길 9,37.51747308,126.9072895,10,116,0,8,,18,292,0,93
112,서울특별시 영등포구 영등포동1가,여의도리슈빌DS,신길로 287,37.51720572,126.9117101,6,88,0,63,,13,302,7,182
113,서울특별시 영등포구 영등포동1가,명남더블레스,경인로108길 6,37.51717135,126.9109384,6,94,0,50,,16,302,7,142
115,서울특별시 영등포구 영등포동1가,신한헤스티아,경인로108길 4,37.51714382,126.9106332,6,95,0,45,,16,303,7,131
116,서울특별시 강서구 마곡동,마곡시티오피스텔,마곡서로 170,37.56928905,126.8256102,0,38,0,0,,0,84,1,0
118,서울특별시 은평구 대조동,경인에버빌,연서로26길 3-8,37.61747496,126.9204167,8,106,0,0,,20,334,20,0
119,서울특별시 강서구 등촌동,유원더블레스,화곡로66길 87,37.55656451,126.8582882,1,51,0,0,,10,100,2,0
120,서울특별시 강서구 화곡동,연우넥스트파크뷰,화곡로 354-5,37.55485363,126.8526343,4,60,0,0,,10,145,21,0
121,서울특별시 마포구 공덕동,에스테반 오피스텔,만리재로7길 2-3,37.54904295,126.9594631,0,103,0,0,,2,327,8,0
122,서울특별시 강서구 화곡동,The Forest (화곡Ⅱ),화곡로42나길 14-12,37.5468166,126.8469367,3,106,0,0,,4,261,3,0
123,서울특별시 강서구 가양동,플래티노,양천로49길 34,37.57019417,126.8409104,4,51,1,0,,7,100,2,6
124,서울특별시 양천구 목동,어바니엘,공항대로 630,37.54666809,126.8748282,2,230,0,0,,6,573,1,19
126,서울특별시 양천구 신정동,제이클래스목동주상복합,오목로 147,37.52497638,126.8536322,3,456,1,0,,10,951,2,5
127,서울특별시 강서구 가양동,마곡보타닉투웨니퍼스트,양천로47길 12,37.57102139,126.8383337,1,56,1,0,,3,90,1,0
128,서울특별시 강동구 길동,강동 와이시티,천호대로175길 42,37.53649036,127.1374465,7,68,0,0,,9,250,0,0
129,서울특별시 강동구 천호동,에스아이팰리스,진황도로27길 23,37.53948474,127.1318301,2,143,0,0,,12,317,0,0
131,서울특별시 강동구 성내동,비바체,올림픽로62길 29,37.53656848,127.1245204,7,104,1,0,,12,288,1,0
134,서울특별시 송파구 문정동,힐스테이트에코송파,정의로7길 13,37.4852529,127.1148086,0,23,0,16,,0,37,0,127
135,서울특별시 송파구 방이동,잠실 에스뜨레야90,백제고분로51길 23,37.51650301,127.1128505,5,52,0,0,,9,122,0,0
136,서울특별시 송파구 문정동,문정 오벨리스크,송파대로 145,37.48338884,127.1230971,2,32,0,0,,5,105,4,0
137,서울특별시 송파구 거여동,휴먼빌 시티,위례송파로3길 12,37.48632563,127.1428325,4,38,0,0,,12,70,37,0
138,서울특별시 송파구 방이동,이스턴잠실,오금로11길 43-16,37.51637627,127.112536,6,55,0,0,,9,129,0,0
139,서울특별시 강동구 길동,다성 이즈빌,천중로42길 68,37.53816168,127.1384002,4,87,0,0,,9,260,0,0
140,서울특별시 송파구 방이동,성희파크빌,백제고분로 507,37.51567366,127.1150753,4,44,0,0,,9,116,0,0
144,서울특별시 금천구 시흥동,골드리버,시흥대로61길 16,37.45400448,126.8997077,11,67,0,0,,24,251,1,0
145,서울특별시 영등포구 영등포동1가,여의도의아침,경인로114길 12,37.51832141,126.9143766,6,54,0,187,,13,175,7,281
146,서울특별시 구로구 오류동,칸타빌레 8차,경인로20나길 12,37.49521236,126.8431774,4,139,1,0,,6,354,1,1
153,서울특별시 강서구 마곡동,마곡 헤리움1차,마곡서1로 115-1,37.56668754,126.8185692,2,31,2,0,,6,114,30,0
154,서울특별시 강서구 마곡동,마곡일성트루엘플래닛,마곡중앙로 161-22,37.56865456,126.8257875,0,41,0,0,,0,78,1,0
155,서울특별시 강서구 마곡동,유림트윈파크,강서로 419,37.56295165,126.8392083,4,22,0,0,,8,72,2,0
156,서울특별시 금천구 가산동,세교예지안 7차,가산로3가길 6,37.47263278,126.8901567,1,70,0,0,,10,151,0,0
157,서울특별시 금천구 가산동,가산대명벨리온,가산디지털2로 127-33,37.47842008,126.8777948,3,13,0,0,,17,40,0,5
158,서울특별시 구로구 구로동,몽삐에뜨로즈,공원로8길 30-12,37.50287715,126.8911118,0,98,0,11,,1,256,8,20
161,서울특별시 영등포구 영등포동2가,영등포 오피스텔,버드나루로7길 11,37.5227151,126.9097084,0,77,0,18,,13,208,0,143
162,서울특별시 구로구 고척동,고척동 헤리움 더원,중앙로 18,37.49960499,126.8647179,4,79,3,0,,6,192,4,26
163,서울특별시 영등포구 영등포동8가,리안펠리체,영중로 114-8,37.52644752,126.9060463,10,108,1,0,,10,181,2,64
165,서울특별시 용산구 한강로3가,지에스 한강에클라트,이촌로 1,37.53153405,126.9555998,4,90,0,26,,7,274,5,116
166,서울특별시 중구 황학동,신당 큐브스테이트,마장로 110,37.56782451,127.0217474,4,89,0,0,,8,248,41,0
167,서울특별시 종로구 숭인동,-1392,난계로29가길 17,37.57371647,127.0227199,6,67,3,0,,11,228,3,0
168,서울특별시 동대문구 청량리동,에이플러스 청량,왕산로 297,37.58706182,127.0522146,8,57,5,26,,14,236,6,26
169,서울특별시 용산구 후암동,(339-4),두텁바위로58길 7,37.55011191,126.9821105,0,185,1,0,,3,424,7,0
170,서울특별시 강북구 수유동,제네스타워,덕릉로 82,37.63442111,127.022863,4,99,0,0,,7,301,0,0
171,서울특별시 동대문구 답십리동,한일노벨리아,천호대로 289,37.56690033,127.053286,2,99,1,0,,4,268,1,23
172,서울특별시 중랑구 면목동,성진빌딩,겸재로44길 21,37.58841282,127.0893877,2,160,0,0,,7,399,2,0
173,서울특별시 성동구 성수동1가,YG FOREST,왕십리로8길 6,37.54619205,127.0453734,0,100,0,0,,0,262,3,0
174,서울특별시 노원구 상계동,노원역 보미더클래스 오피스텔,상계로 32,37.65506089,127.0587126,6,27,0,0,,10,93,9,33
176,서울특별시 성북구 보문동4가,브라운홈스,보문로 78,37.58233367,127.021284,4,119,0,0,,8,272,0,0
177,서울특별시 중구 충무로5가,충무로엘크루메트로시티2,퇴계로49길 14,37.56338352,127.0000016,0,105,1,0,,4,262,2,0
179,서울특별시 동대문구 장안동,양우 내안애 애플,장한로 99,37.56975522,127.0697305,0,83,0,0,,2,190,2,0
180,서울특별시 동대문구 휘경동,빌리원,이문로 42-1,37.59122346,127.0569834,1,136,1,0,,7,295,12,26
181,서울특별시 동대문구 이문동,오피스55,휘경로 5-5,37.59650566,127.0610385,0,72,0,0,,0,194,0,0
184,서울특별시 도봉구 창동,(608-78),도봉로104길 111-7,37.64442717,127.0379049,0,0,0,0,,2,0,1,0
185,서울특별시 성동구 도선동,성동 트레비스타 오피스텔,왕십리로 332,37.56301863,127.0331893,2,183,0,7,,7,461,1,19
186,서울특별시 동대문구 답십리동,답십리한화오벨리스크,천호대로 319,37.56482324,127.0560773,3,114,0,0,,6,325,3,0
189,서울특별시 도봉구 창동,북한산 드림시티,도봉로110마길 42,37.64434013,127.0362265,0,0,0,0,,3,5,1,0
190,서울특별시 동대문구 휘경동,휘경동 코업레지던스,회기로28길 7,37.58955633,127.0564648,3,120,0,26,,8,303,6,26
193,서울특별시 중구 황학동,케렌시아청계,난계로17길 40,37.56962435,127.0211741,0,78,0,0,,5,229,104,0
194,서울특별시 동대문구 휘경동,리센스,망우로 29,37.58872592,127.0567772,3,126,0,26,,9,283,7,26
195,서울특별시 서초구 서초동,아크로텔 강남역,효령로77길 34,37.49195281,127.0288102,9,80,1,0,,23,209,12,0
196,서울특별시 서초구 서초동,강남역파라디아골드,효령로79길 1,37.48990898,127.030204,10,110,9,0,,20,232,16,0
197,서울특별시 관악구 남현동,사당아트오피스텔,승방6길 26,37.47475307,126.9802761,8,156,0,33,,17,324,0,44
198,서울특별시 영등포구 대림동,G밸리소홈,도림천로19길 11,37.48659127,126.9001828,1,131,1,29,,14,352,2,59
199,서울특별시 관악구 봉천동,명문타워,청룡3길 17,37.480825,126.9472072,4,119,0,0,,12,332,0,0
200,서울특별시 영등포구 문래동3가,스테이트 디 어반문래,문래북로 58-8,37.52036287,126.891438,3,61,1,0,,9,183,3,0
201,서울특별시 동작구 신대방동,신라스테이해링턴타워,시흥대로 596,37.48557939,126.9044762,6,118,1,77,,13,343,2,114
202,서울특별시 영등포구 신길동,콘펠리체,영등포로 402,37.51297645,126.9227083,3,102,0,8,,9,248,3,96
203,서울특별시 강남구 역삼동,강남역 서희스타힐스 오피스텔,도곡로3길 19,37.49137331,127.0325245,9,83,1,0,,20,284,15,0
204,서울특별시 영등포구 당산동,한산 오피스텔,버드나루로 142,37.5308974,126.9073194,4,45,1,64,,8,129,2,132
206,서울특별시 동작구 노량진동,노량진 드림스퀘어 복합빌딩,노들로2길 7,37.51431662,126.9393933,6,33,0,52,,14,97,0,159
208,서울특별시 서초구 서초동,청화오피스텔,효령로 431,37.48962396,127.0306739,12,112,9,0,,19,253,16,0
209,서울특별시 강남구 자곡동,강남 푸르지오시티 2차(PRUGIO CITYⅡ),자곡로 192,37.47439362,127.1040666,6,29,0,0,,12,117,4,0
210,서울특별시 강남구 자곡동,강남유탑유블레스,자곡로 180,37.47358821,127.1030375,4,30,0,0,,11,116,4,0
211,서울특별시 강남구 삼성동,삼성동 현대위버포레 오피스텔,삼성로95길 9,37.50786804,127.0548861,4,94,0,0,,7,234,0,0
214,서울특별시 서초구 서초동,서초센트럴IPARK,반포대로18길 36,37.48698219,127.011546,4,84,1,0,,11,222,1,0
215,서울특별시 서초구 서초동,서초동오피스텔,서초대로73길 54,37.50204551,127.0240126,19,98,0,0,,29,302,2,0
216,서울특별시 서초구 서초동,(1589-14),효령로53길 21,37.48551208,127.0135465,8,80,0,0,,16,204,1,0
217,서울특별시 은평구 역촌동,거장메카,진흥로 35,37.60076724,126.9192835,2,106,18,0,,15,308,20,0
219,서울특별시 강서구 화곡동,제이투 리더스뷰,곰달래로16길 34,37.528589,126.8401929,4,241,0,0,,9,672,1,0
220,서울특별시 마포구 공덕동,솔리스타,만리재로 113,37.55028379,126.9604927,0,121,1,0,,2,383,14,0
222,서울특별시 은평구 진관동,아이파크 포레스트 게이트,통일로 1010,37.63277219,126.918576,7,41,1,0,,15,102,5,0
223,서울특별시 마포구 도화동,나눔빌딩,도화길 43,37.54176548,126.9502544,4,76,0,0,,8,191,2,0
224,서울특별시 양천구 목동,목동블루오피스텔,목동서로 133-3,37.53183375,126.87567,3,99,0,0,,6,267,0,0
225,서울특별시 강서구 등촌동,아이디움,화곡로64길 28,37.55686973,126.8546962,6,42,13,0,,10,122,27,0
226,서울특별시 마포구 성산동,상암 두산위브센티움,월드컵로36길 14,37.56595234,126.9030231,2,20,1,5,,9,124,1,61
227,서울특별시 은평구 진관동,은평뉴타운 꿈에그린,진관3로 33,37.63991367,126.919887,2,32,0,0,,11,80,1,0
230,서울특별시 마포구 신공덕동,갑을명가시티2,만리재로 67,37.54705497,126.9573802,0,86,1,0,,4,222,1,0
231,서울특별시 강서구 화곡동,(899-23),강서로7길 20-22,37.53016452,126.845905,4,94,0,4,,6,325,0,13
232,서울특별시 마포구 상암동,"상암DMC푸르지오시티, S-City",월드컵북로54길 25,37.58196492,126.8892206,5,3,0,0,,15,52,3,0
233,서울특별시 마포구 성산동,상암 우남퍼스트빌스타,모래내로 5,37.56428635,126.9037268,6,48,0,31,,8,122,3,66
234,서울특별시 마포구 성산동,상암 퍼스티지 더올림 오피스텔,모래내로1길 17,37.56526682,126.9028608,3,25,1,19,,7,117,2,66
235,서울특별시 강서구 화곡동,우장산투웨니퍼스트,화곡로 252,37.54730974,126.8461967,3,104,1,0,,4,244,2,0
236,서울특별시 강서구 가양동,이스타빌2차,양천로57길 10-11,37.56325801,126.852692,8,27,1,1,,16,68,11,66
239,서울특별시 강서구 화곡동,화곡SJ라벨라,곰달래로 72,37.52993094,126.8408521,5,138,0,0,,11,556,1,0
241,서울특별시 동대문구 전농동,청량리역 우남SL타워300,왕산로 186,37.57941454,127.0440522,8,97,0,0,,13,239,6,0
242,서울특별시 중구 쌍림동,남산 오렌지카운티,동호로 318,37.5629009,127.0030439,0,137,1,0,,3,306,1,0
243,서울특별시 동대문구 청량리동,(2-7),왕산로 295,37.58690866,127.0521884,7,58,5,26,,14,223,6,26
244,서울특별시 노원구 공릉동,로우폴리스,화랑로 449-7,37.61868775,127.0769105,9,96,1,19,,13,275,1,74
245,서울특별시 성동구 성수동2가,성수 더힐 센트럴파크뷰,성수일로12가길 6,37.54923523,127.052822,4,80,0,24,,5,191,0,69
246,서울특별시 용산구 한강로2가,한강로 대우아이빌,한강대로43길 13,37.53154042,126.9690907,2,128,0,7,,9,216,0,18
247,서울특별시 송파구 방이동,사보이시티잠실,오금로11길 45,37.51602138,127.1124328,7,56,0,0,,10,127,0,0
249,서울특별시 강서구 마곡동,마곡나루역캐슬파크,마곡중앙로 161-1,37.56785424,126.8274661,0,30,0,0,,0,57,0,0
250,서울특별시 금천구 가산동,킹-캐슬,남부순환로112길 1-20,37.47744681,126.8956601,4,116,1,0,,14,270,3,0
255,서울특별시 영등포구 영등포동1가,메트로가든,경인로112길 4-7,37.5177479,126.91348,3,69,0,128,,12,214,7,260
257,서울특별시 동작구 상도1동,상도 프라이드 522,매봉로 13,37.50606726,126.9503392,2,54,0,0,,2,170,0,0
258,서울특별시 강남구 청담동,(46-3),학동로 437-6,37.51925224,127.0489023,3,107,0,0,,5,285,1,0
259,서울특별시 관악구 봉천동,THE LIME,행운1마길 40,37.48248488,126.9546643,6,149,1,0,,11,357,2,0
260,서울특별시 영등포구 신길동,대우 디오빌 골든뷰 오피스텔,영등포로57길 9,37.51742743,126.9177943,3,48,0,111,,11,158,15,272
261,서울특별시 관악구 신림동,G 밸리마인드,시흥대로 558-1,37.48278204,126.9019674,8,151,0,28,,18,337,0,77
262,서울특별시 관악구 신림동,(529-4),난곡로 324,37.48305669,126.9146544,8,103,0,0,,13,316,5,30
263,서울특별시 관악구 봉천동,메이플스테이,남부순환로218길 18,37.48051919,126.9502985,7,103,0,0,,13,313,2,0
266,서울특별시 관악구 봉천동,세종오피스텔,관악로13길 25,37.47927909,126.9508491,7,95,1,0,,13,295,2,0
268,서울특별시 관악구 봉천동,칸타빌레7차,보라매로 25,37.49177845,126.9265937,4,54,1,0,,6,228,1,0
269,서울특별시 영등포구 문래동6가,문래크라운팰리스,문래로 33,37.52063734,126.8858216,2,64,6,0,,6,193,6,0
271,서울특별시 관악구 봉천동,YK서울대,남부순환로 1755,37.48234107,126.9452921,4,132,0,0,,9,356,1,0
274,서울특별시 강남구 자곡동,강남힐스테이트에코,자곡로 202,37.47473588,127.1048175,6,33,0,0,,13,100,0,0
275,서울특별시 강남구 자곡동,강남 더샵라르고,자곡로 201,37.47544602,127.1048606,7,28,0,0,,13,85,0,0
276,서울특별시 영등포구 당산동3가,당산파크뷰,당산로29길 1,37.52578561,126.8949822,3,75,0,0,,11,231,1,0
279,서울특별시 영등포구 신길동,신길리버스시티,신길로38길 16,37.5056627,126.912699,4,115,0,4,,7,281,2,7
280,서울특별시 강남구 역삼동,역삼동 677-4 업무시설 (김창환),언주로93길 25,37.50325814,127.0400935,2,80,0,0,,6,243,0,0
281,서울특별시 영등포구 신길동,도노펠리체,영등포로 394,37.51321314,126.9217436,4,115,0,0,,9,255,8,84
282,서울특별시 강남구 역삼동,이지마루 역삼,테헤란로27길 8-14,37.50224448,127.0391054,4,77,0,0,,7,263,0,0
283,서울특별시 영등포구 당산동,휴브리지 빌딩,버드나루로 116,37.52851219,126.9082458,3,57,1,45,,10,134,2,161
284,서울특별시 강남구 역삼동,강남역 와이즈 플레이스,강남대로66길 14,37.49172822,127.0318398,11,78,1,0,,21,283,15,0
285,서울특별시 영등포구 당산동,소미골드라인III,버드나루로19길 8,37.52858644,126.9071095,3,71,1,10,,12,148,2,126
287,서울특별시 강동구 천호동,이안 강동 컴홈스테이,천호대로161길 7,37.53769574,127.1285425,5,94,0,0,,14,278,0,0
288,서울특별시 송파구 오금동,마나하임,마천로 119,37.50556221,127.1330263,5,42,0,0,,8,107,4,0
289,서울특별시 강동구 명일동,고덕역 갑을명가시티 오피스텔,동남로75길 27,37.55398621,127.154639,2,30,0,0,,4,65,4,0
290,서울특별시 강동구 명일동,고덕역 대명벨리온,고덕로 266,37.5546625,127.1551188,3,26,0,0,,5,67,4,0
293,서울특별시 송파구 방이동,잠실 제니알,올림픽로34길 6,37.51609142,127.1103929,4,74,0,0,,11,183,0,0
295,서울특별시 송파구 방이동,보보스타워,오금로11길 49,37.51573739,127.1127041,5,66,0,0,,10,121,0,0
296,서울특별시 송파구 방이동,잠실 트리움,오금로11길 43,37.51587743,127.111638,4,68,0,0,,12,134,0,0
297,서울특별시 송파구 방이동,잠실엘퍼스트오피스텔,백제고분로51길 7,37.51601749,127.1145999,4,42,0,0,,10,104,0,0
