NO,시군구,단지명,도로명,위도,경도,bus_count_300m,CCTV 300m 카메라 대수,300m 학교 수,반경 300m 가로등 개수,,bus_count_500m,CCTV 카메라 대수,500m 학교 수,반경 500m 가로등 개수
43928,서울특별시 강서구 화곡동,아델리아Ⅴ,까치산로 13,37.54145502,126.8422769,7,103,1,0,,15,301,3,0
43958,서울특별시 광진구 구의동,하우트빌,자양로 154-9,37.54135713,127.0843701,4,28,7,0,,8,79,8,0
43976,서울특별시 금천구 독산동,원앙하우스,독산로52길 20,37.4635678,126.9042459,4,173,1,0,,8,441,2,0
44117,서울특별시 강서구 화곡동,성진오피스텔,가로공원로 230,37.53790965,126.8414495,5,99,1,0,,14,262,2,0
44148,서울특별시 은평구 불광동,세민하이파크,불광로 120,37.6174496,126.9332875,0,82,0,0,,0,132,1,0
44190,서울특별시 강동구 길동,도고하임,진황도로 107,37.5355878,127.138395,6,67,0,0,,12,242,0,0
44218,서울특별시 강서구 화곡동,세교예지안6차,곰달래로18길 25,37.52911631,126.8415588,6,122,0,0,,9,564,1,0
44354,서울특별시 중랑구 묵동,(174-20),공릉로4길 4-3,37.61309007,127.0784478,6,133,0,0,,10,315,1,0
44395,서울특별시 성동구 용답동,KG TOWER,자동차시장1길 21,37.5615149,127.059869,2,72,1,0,,3,170,1,0
44414,서울특별시 은평구 불광동,아이반 오스텔,불광로 42-5,37.6109355,126.9307104,8,90,1,0,,13,222,2,0
44516,서울특별시 은평구 응암동,한성벨라트리,은평로13길 7-9,37.60177201,126.9249913,8,97,0,0,,10,314,1,0
44517,서울특별시 은평구 응암동,다원빌,응암로 211-2,37.59095281,126.9167824,5,126,18,0,,12,361,20,0
44519,서울특별시 강서구 화곡동,화곡동오피스텔,까치산로16길 28,37.54568825,126.8483784,1,109,1,0,,3,267,3,0
44522,서울특별시 마포구 대흥동,골드오피스텔,대흥로 176,37.55484006,126.9461679,6,105,0,0,,7,216,7,0
44527,서울특별시 은평구 신사동,신안월드빌,갈현로 10-6,37.59876845,126.9106116,4,119,0,0,,13,342,1,0
44574,서울특별시 관악구 봉천동,에스클래스,관악로 260,37.48716999,126.9579693,2,113,0,0,,4,287,1,0
44713,서울특별시 광진구 군자동,홀가하우스,동일로 302,37.55809583,127.0733813,3,46,0,77,,5,122,0,173
44934,서울특별시 중구 황학동,-1546,난계로15길 36-6,37.56916351,127.0215577,0,70,0,0,,6,221,40,0
44935,서울특별시 광진구 구의동,현대13차폴라트리움,구의강변로 102,37.53941844,127.0946113,6,32,0,9,,18,75,2,87
45021,서울특별시 관악구 봉천동,villaM,청룡3길 15,37.48078665,126.9470665,4,117,0,0,,11,332,27,0
45147,서울특별시 영등포구 당산동1가,현대가우스빌,영신로43길 17,37.52225803,126.8994627,3,113,0,0,,9,222,2,0
45162,서울특별시 송파구 삼전동,(29-1),백제고분로22길 4-13,37.50355469,127.0885324,4,91,0,0,,7,196,0,12
45204,서울특별시 강서구 화곡동,(24-99),화곡로42가길 5-7,37.54626905,126.8460989,2,113,1,0,,6,252,2,0
45205,서울특별시 강서구 화곡동,리치아파트 103동,월정로20길 56,37.52972963,126.8415667,6,100,0,0,,11,503,1,0
45238,서울특별시 양천구 신월동,(545-2),신월로 155,37.51779554,126.8407913,9,279,1,0,,12,639,2,0
45247,서울특별시 은평구 응암동,메트하임,은평로8길 24-2,37.59842324,126.9195768,5,109,19,0,,13,311,19,0
45369,서울특별시 관악구 신림동,(1432-151),신림동5길 17,37.48646791,126.9274681,4,145,0,0,,13,480,0,0
45588,서울특별시 은평구 응암동,거성리젠시,응암로29길 15-12,37.59626904,126.9170674,6,113,1,0,,16,325,19,0
45707,서울특별시 강남구 역삼동,시티프라디움 더 강남 101동,557,37.50740037,127.0391621,0,104,0,0,,2,329,0,0
45735,서울특별시 관악구 신림동,스타빌딩,신림동5가길 37,37.48631961,126.925156,0,243,0,0,,9,473,0,0
45776,서울특별시 용산구 한남동,디케이밸리뷰한남,독서당로 27,37.53093868,127.0073579,1,166,0,50,,2,344,0,173
45836,서울특별시 금천구 가산동,비에스힐즈-2,두산로3길 42,37.47247174,126.8891604,1,49,0,0,,10,118,0,0
45947,서울특별시 강서구 화곡동,리더스텔,화곡로27길 21,37.54261114,126.8401651,10,90,1,0,,16,249,1,0
45953,서울특별시 강서구 화곡동,해오름빌딩,까치산로15길 29,37.54729167,126.84671,3,104,1,0,,4,258,2,0
45989,서울특별시 중랑구 중화동,탑클래스2차,동일로135길 7-3,37.60194987,127.0788684,2,107,2,0,,5,295,4,21
46043,서울특별시 영등포구 도림동,(187-22),도영로11길 8-12,37.51093723,126.8977189,0,88,1,42,,7,248,3,86
46122,서울특별시 금천구 독산동,현우빌딩,독산로108길 27,37.47970565,126.9054076,5,154,23,0,,8,355,23,0
46170,서울특별시 영등포구 영등포동8가,모던빌,영중로42길 3,37.52852347,126.9062073,3,67,1,0,,12,156,2,91
46186,서울특별시 서초구 서초동,(1515-3),명달로 104,37.48642017,127.0045481,0,50,14,0,,4,139,23,0
46418,서울특별시 구로구 오류동,예성타워,고척로4길 8,37.49556746,126.8411668,4,132,1,0,,6,340,1,0
46447,서울특별시 금천구 가산동,이호드림파크,남부순환로 1274,37.47866505,126.8922321,10,138,0,0,,22,258,1,2
46483,서울특별시 영등포구 양평동6가,양평도담빌E,양평로28다길 11,37.54164162,126.890152,2,68,0,27,,6,110,0,115
46525,서울특별시 은평구 불광동,온세샤인빌,불광로13길 13,37.61738367,126.9325197,0,82,0,0,,0,155,3,0
46547,서울특별시 중랑구 상봉동,성원빌,면목로95길 8,37.59569352,127.0851587,4,131,0,0,,5,306,1,16
46575,서울특별시 강북구 수유동,한일그랑빌,노해로21길 8,37.64398885,127.0223942,0,116,0,0,,0,261,0,0
46731,서울특별시 강서구 화곡동,(915-33),곰달래로20길 31,37.5289093,126.8430049,2,103,0,0,,11,477,1,4
46792,서울특별시 송파구 잠실동,소미골드라인,삼전로9길 5-21,37.50538957,127.0883111,6,79,0,0,,9,199,0,3
46810,서울특별시 강동구 천호동,파크뷰,올림픽로 733,37.54682298,127.1260881,2,89,0,0,,5,230,0,64
46854,서울특별시 강서구 화곡동,경림오피스텔,강서로 161-5,37.54102471,126.8403386,10,99,1,0,,18,271,1,0
46923,서울특별시 중랑구 상봉동,다온 홈타운,면목로88길 5-4,37.59424953,127.0866048,3,124,0,0,,6,342,1,0
46925,서울특별시 중랑구 상봉동,YMS TOWER C동,면목로94길 15,37.5954102,127.0867137,4,130,0,0,,9,304,1,0
46960,서울특별시 은평구 불광동,온세파인빌,통일로66길 10-12,37.61009981,126.9315836,7,59,0,0,,14,219,2,0
46983,서울특별시 관악구 봉천동,라온 오피스텔도시형생활주택,관악로15길 22,37.48041986,126.9512831,8,108,0,0,,12,319,2,0
47002,서울특별시 영등포구 양평동2가,이레오피스텔,선유서로21길 16,37.52267721,126.8836072,2,61,5,7,,4,145,6,23
47004,서울특별시 영등포구 양평동4가,(272-1),양평로18길 16-5,37.5377021,126.897794,4,59,9,82,,14,131,11,140
47011,서울특별시 영등포구 신길동,(225-104),신길로45길 12,37.5089781,126.9096777,3,200,2,0,,8,493,2,0
47105,서울특별시 구로구 구로동,(104-10),가마산로 279,37.49672817,126.8910424,4,91,7,0,,7,410,11,0
47380,서울특별시 성동구 성수동1가,서울숲 무지개,상원6나길 30,37.54772869,127.0502934,0,98,0,0,,3,277,3,33
47577,서울특별시 서초구 양재동,이스타빌,논현로 151,37.48289541,127.0420643,2,112,1,1,,12,319,2,6
47586,서울특별시 영등포구 도림동,그린아델리움,도신로15다길 30,37.50827264,126.8973497,2,94,0,38,,2,266,0,112
47700,서울특별시 광진구 구의동,솔리드 하우스(구의),자양로 208,37.54569117,127.0862963,6,26,1,0,,9,69,9,0
47829,서울특별시 양천구 신월동,더트라움써드,가로공원로 157,37.53692694,126.8334672,4,277,0,0,,14,691,1,0
48038,서울특별시 금천구 시흥동,한나래17차,시흥대로61길 26,37.45391779,126.8991619,11,50,0,0,,23,205,0,0
48045,서울특별시 강서구 화곡동,(899-12),강서로7길 20-6,37.52986973,126.8466139,4,87,0,7,,6,341,0,13
48208,서울특별시 관악구 신림동,(1421-11),신림로64길 41,37.48538602,126.9319133,6,123,0,0,,16,452,0,0
48255,서울특별시 영등포구 양평동3가,하나타워,양산로 73,37.52498709,126.8912423,2,96,1,0,,8,222,1,0
48421,서울특별시 성북구 하월곡동,명남더블레스,종암로36길 16,37.6056139,127.0325492,3,83,24,23,,9,220,24,67
48435,서울특별시 마포구 아현동,아현 라온빌,손기정로 2,37.55768477,126.9605104,0,120,61,0,,11,350,71,0
48456,서울특별시 강서구 화곡동,씨앤케이,곰달래로 262,37.53199972,126.8620471,0,135,0,0,,0,493,0,0
48464,서울특별시 서대문구 북가좌동,미다스,수색로 153,37.57573375,126.9038281,5,77,0,14,,12,139,3,14
48487,서울특별시 은평구 대조동,유림하이빌,진흥로13가길 12,37.6100846,126.9263707,4,95,1,0,,11,266,1,0
48758,서울특별시 광진구 구의동,더집,자양로 154-30,37.54118288,127.0843602,5,28,7,0,,7,80,8,0
48807,서울특별시 성동구 성수동1가,포레스트 사이드,서울숲7길 11,37.54828299,127.0429964,0,96,0,0,,1,182,5,83
48841,서울특별시 은평구 대조동,루체하임,통일로65길 4,37.60917732,126.9304115,9,85,0,0,,14,249,1,0
48878,서울특별시 관악구 신림동,(1436-22),신림동7길 27,37.48588173,126.926613,5,148,0,0,,12,487,0,0
48942,서울특별시 관악구 봉천동,봉천빌딩,남부순환로 1718,37.48245839,126.9408152,2,149,0,0,,10,368,2,0
48944,서울특별시 관악구 봉천동,(972-42),봉천로 213-18,37.49050679,126.9257618,4,60,0,0,,6,328,1,0
48950,서울특별시 관악구 봉천동,SIWOOTREE,행운1길 125,37.48422054,126.9560013,4,130,1,0,,8,326,2,0
48959,서울특별시 관악구 신림동,.,신림동5길 38,37.48551566,126.9275057,5,140,0,0,,11,468,0,0
49029,서울특별시 강동구 성내동,인택스파크뷰,강동대로 217,37.52376417,127.1306196,0,65,1,0,,2,137,1,0
49088,서울특별시 강서구 화곡동,센트럴파크아파트,강서로7길 52-12,37.52993693,126.8449474,4,94,0,0,,8,322,0,12
49103,서울특별시 은평구 응암동,힐 오피스텔,은평로9길 3-4,37.60080169,126.9210601,7,108,0,0,,13,274,19,0
49131,서울특별시 은평구 신사동,신성그린빌,은평로2길 6-34,37.59688852,126.9103576,6,157,0,0,,14,345,1,0
49228,서울특별시 송파구 송파동,현대레이크빌,석촌호수로 284,37.51071934,127.1069907,3,43,0,0,,14,207,0,12
49254,서울특별시 중랑구 상봉동,해피뜨래,봉우재로 175,37.59416512,127.0925251,6,135,0,0,,11,330,5,0
49267,서울특별시 동대문구 신설동,더 센트럴,천호대로 15-7,37.57508301,127.025385,8,70,0,0,,15,179,9,0
49334,서울특별시 영등포구 영등포동2가,.,국회대로54길 37-13,37.52258103,126.9099517,0,81,0,23,,14,200,0,162
49419,서울특별시 강남구 역삼동,스톤 엘리시온 역삼,논현로 337,37.49523372,127.0391982,1,105,0,0,,6,297,0,0
49433,서울특별시 송파구 가락동,(79-4),송파대로28길 20,37.49414703,127.1202337,7,52,0,0,,11,122,0,1
49436,서울특별시 영등포구 신길동,이지스타워,신길로 14,37.49390142,126.9092348,4,50,1,0,,6,211,11,0
49453,서울특별시 관악구 신림동,은성빌딩,남부순환로 1597-7,37.48448017,126.9277203,7,152,0,0,,12,395,0,0
49694,서울특별시 금천구 시흥동,은연빌라트,금하로21길 12,37.45198596,126.9082723,11,186,0,0,,17,470,1,0
49768,서울특별시 영등포구 양평동1가,양평바로지음,선유로24길 3-1,37.52296609,126.8906957,5,101,0,0,,8,206,3,0
49803,서울특별시 금천구 시흥동,산들파크빌1,시흥대로57길 19-43,37.45261015,126.8994835,11,56,0,0,,21,209,5,0
49894,서울특별시 영등포구 당산동4가,해라톤시티2,당산로38길 15-7,37.5290843,126.9003204,3,56,0,0,,10,143,2,0
49946,서울특별시 강북구 수유동,(274-5),삼양로 498,37.64763335,127.0147917,0,100,0,0,,0,238,0,0
50049,서울특별시 금천구 독산동,우미센트럴빌,독산로107길 4,37.47817923,126.903374,5,145,0,0,,8,385,23,0
50416,서울특별시 금천구 독산동,(1006-54),범안로12가길 31-5,37.46548541,126.8935933,2,117,0,0,,4,192,2,0
50537,서울특별시 강동구 암사동,서일빌딩,상암로3길 12,37.55095308,127.1269189,2,69,0,0,,4,192,0,75
50638,서울특별시 동대문구 휘경동,Weave Place - Hoegi(위브플레이스-회기),이문로 56,37.59221339,127.0577037,0,125,1,0,,6,291,12,0
50639,서울특별시 동대문구 신설동,(100-22),청계천로 433,37.57153334,127.0254876,0,41,0,0,,5,116,1,0
50647,서울특별시 강서구 화곡동,세림아파트,월정로20길 96,37.5298404,126.8439596,2,96,0,0,,11,358,1,8
50694,서울특별시 강서구 방화동,수정,개화동로29길 22,37.56355495,126.8080779,5,74,2,6,,9,172,2,18
50760,서울특별시 서초구 서초동,DK밸리뷰 서초2차,사임당로 34,37.4879281,127.0138245,2,83,0,0,,13,216,2,0
50792,서울특별시 강남구 신사동,(505-7),압구정로2길 6,37.52109742,127.0191342,3,76,0,82,,10,228,2,270
50801,서울특별시 강동구 암사동,명성오피스텔,상암로4길 39,37.54876086,127.1260841,2,74,0,2,,4,201,0,68
50842,서울특별시 금천구 시흥동,해돋는집,독산로 160-28,37.46178435,126.9051566,4,184,1,0,,7,451,2,0
50854,서울특별시 금천구 시흥동,리브가,독산로50길 12,37.46259376,126.9048568,3,175,1,0,,6,466,1,0
50979,서울특별시 은평구 대조동,서경하우스,불광로1길 18,37.6098113,126.9264818,3,100,1,0,,12,277,1,0
51044,서울특별시 관악구 봉천동,이아오피스텔,쑥고개로21길 31,37.48040168,126.9479604,4,107,0,0,,13,319,27,0
51099,서울특별시 도봉구 쌍문동,happy house,해등로17길 36,37.65553617,127.0377401,2,0,1,0,,4,0,3,0
51114,서울특별시 노원구 월계동,(383-19),광운로 59,37.62274985,127.0596277,0,76,0,0,,0,114,18,0
51121,서울특별시 성북구 동선동1가,코아루센타시아,동소문로20나길 47,37.59303278,127.0191657,4,111,0,0,,5,223,4,0
51281,서울특별시 영등포구 양평동4가,제니스빌,선유로53길 7-1,37.53705129,126.8974616,3,66,9,51,,14,139,11,130
51351,서울특별시 영등포구 영등포동7가,한강시티뷰,버드나루로7길 12-17,37.52375135,126.9089015,2,86,0,23,,10,226,2,117
51657,서울특별시 도봉구 창동,부강애스테이,도봉로134길 22,37.65689786,127.0411276,2,0,0,0,,4,0,4,0
51683,서울특별시 중구 만리동1가,하람휴,만리재로37길 3,37.55636526,126.9682656,1,94,12,0,,14,338,12,6
51699,서울특별시 강서구 화곡동,양지샤인아파트,강서로7길 20-20,37.53017905,126.8460663,4,89,0,4,,6,324,0,13
51730,서울특별시 은평구 역촌동,(1-12),서오릉로 123,37.61013056,126.9187081,8,100,0,0,,12,263,19,0
51975,서울특별시 구로구 오류동,해츠빌,오류로 104,37.49401172,126.8405163,3,107,0,0,,7,313,6,0
52092,서울특별시 관악구 신림동,(704-44),난곡로 179-6,37.47112211,126.9194099,4,134,0,0,,8,482,5,0
52109,서울특별시 관악구 봉천동,(918-5),청룡8길 47,37.48005348,126.9433374,4,147,0,0,,8,331,27,0
52345,서울특별시 강서구 화곡동,우성오피스텔,강서로 130-2,37.5387522,126.8426797,6,82,1,0,,10,283,3,0
52395,서울특별시 강동구 천호동,헬마빌딩,올림픽로 726,37.5459031,127.1263107,2,95,0,0,,5,243,0,51
52500,서울특별시 은평구 불광동,대원에코빌,불광로13길 11-1,37.61751074,126.9325766,0,85,0,0,,0,154,3,0
52595,서울특별시 금천구 가산동,해찬행복드림,가산로5길 14,37.47378114,126.8940309,3,73,1,0,,10,256,2,0
52707,서울특별시 강서구 화곡동,귀뚜라미홈시스텔,화곡로 346,37.55450655,126.8519775,4,61,0,0,,9,153,21,0
52708,서울특별시 강서구 화곡동,더레스트,까치산로 78,37.54549666,126.8475137,2,120,1,0,,5,276,2,0
52823,서울특별시 강서구 화곡동,수정오피스텔,강서로 161-7,37.54097446,126.8402258,10,100,1,0,,18,266,1,0
52895,서울특별시 강동구 천호동,다성 이즈빌,진황도로 45,37.5383933,127.1320511,3,115,0,0,,11,293,0,0
52933,서울특별시 금천구 가산동,예다지,가산로3길 134-10,37.47244532,126.8881804,4,55,0,0,,13,107,0,0
53094,서울특별시 강서구 화곡동,포엠빌 화곡1차,화곡로 286-4,37.54986292,126.8484395,2,73,1,0,,4,222,2,0
53268,서울특별시 영등포구 여의도동,여의도자이,여의동로3길 10,37.51817234,126.9260536,3,10,1,26,,6,81,4,156
53341,서울특별시 광진구 화양동,선인팰리스,군자로6길 50-2,37.54584029,127.0721819,6,33,0,0,,11,68,1,0
53352,서울특별시 성북구 하월곡동,한솔에코빌,종암로32길 10-14,37.60372618,127.0327414,4,64,0,35,,5,215,24,81
53464,서울특별시 강서구 화곡동,멀티하우스,강서로19길 11,37.53380945,126.8451662,4,86,0,0,,7,258,1,0
53513,서울특별시 은평구 응암동,(122-13),불광천길 502,37.59634702,126.9159894,7,108,1,0,,18,339,19,0
53614,서울특별시 관악구 신림동,(1432-134),신림동5길 35,37.4856403,126.9277076,5,144,0,0,,12,471,0,0
53812,서울특별시 영등포구 당산동1가,해강하우스,영신로41길 15,37.52194294,126.8996651,3,112,0,0,,10,234,2,0
53826,서울특별시 관악구 봉천동,(1566-25),남부순환로214길 47,37.47940355,126.9475571,5,96,0,0,,12,273,28,0
53933,서울특별시 성북구 석관동,다솜오피스텔,돌곶이로23길 22,37.60988323,127.0564534,0,93,0,18,,0,230,0,31
53961,서울특별시 중랑구 면목동,킴스타워,사가정로 374,37.58072424,127.0861701,3,180,0,0,,5,443,1,0
54050,서울특별시 양천구 신월동,골든캐슬,가로공원로 136,37.53595713,126.8310167,6,351,0,0,,19,810,24,0
54169,서울특별시 영등포구 당산동3가,웰니스오피스텔,양산로19길 13-9,37.52553758,126.8944985,2,71,0,0,,12,224,1,0
54170,서울특별시 영등포구 당산동3가,미라벨,당산로31길 18-11,37.52746621,126.8947422,5,71,0,0,,8,200,1,0
54417,서울특별시 은평구 신사동,신성에버빌,은평로2길 6-26,37.5972175,126.9105061,7,144,0,0,,15,329,0,0
54484,서울특별시 관악구 신림동,(1667-10),남부순환로 1351,37.47960812,126.900744,3,91,0,0,,14,371,1,0
54540,서울특별시 종로구 숭인동,(317-35),종로56길 28,37.57186488,127.0164959,2,77,104,0,,5,242,107,0
54631,서울특별시 강서구 등촌동,The ZAHA,등촌로 81,37.53725795,126.8632027,0,191,9,0,,0,536,16,0
54806,서울특별시 동대문구 장안동,태솔타운3차,장한로26가길 10,37.5713168,127.0717288,0,62,0,0,,0,193,0,17
54879,서울특별시 광진구 구의동,강변아파트,광나루로54길 23,37.53987644,127.0954709,5,21,0,14,,18,68,3,111
54905,서울특별시 금천구 시흥동,금호빌딩,시흥대로71길 40,37.45524687,126.8993734,12,84,0,0,,21,238,2,0
54959,서울특별시 금천구 가산동,비엔더포레,디지털로 208-5,37.47874858,126.8897971,14,103,0,2,,22,270,0,14
55057,서울특별시 관악구 신림동,(1459-21),신림동길 31-4,37.48668316,126.925291,0,206,0,0,,11,467,0,0
55111,서울특별시 은평구 응암동,위산엘리시움,응암로11길 8,37.58856299,126.9159829,4,149,0,0,,12,380,19,0
55112,서울특별시 강서구 화곡동,(29-77),까치산로16길 26,37.54579647,126.8484576,1,109,1,0,,3,256,3,0
55167,서울특별시 성북구 동선동3가,동선 예술인마을,동소문로26마길 64,37.59662181,127.0216432,2,92,21,0,,4,199,21,0
55181,서울특별시 동대문구 용두동,두산베어스타워,왕산로 81,37.57852976,127.0324032,5,56,0,14,,12,135,3,40
55198,서울특별시 중랑구 상봉동,스마트트라움,망우로 236,37.59419298,127.0788439,3,108,0,15,,6,307,1,16
55213,서울특별시 광진구 구의동,썬-타워빌딩,천호대로 670,37.55112175,127.089562,5,25,5,0,,9,84,6,1
55305,서울특별시 은평구 대조동,미래하임,서오릉로 108,37.60963123,126.9202848,4,92,0,0,,10,286,1,0
55370,서울특별시 금천구 독산동,다온캐슬,독산로 353-1,37.47850001,126.9032953,5,139,0,0,,9,376,23,0
55391,서울특별시 영등포구 당산동3가,NR GALLERY,당산로31길 18-14,37.52745475,126.8949177,6,70,0,0,,9,195,0,0
55463,서울특별시 송파구 가락동,(98-2),송파대로30길 8,37.49421083,127.118435,6,42,0,0,,11,97,0,10
55549,서울특별시 종로구 숭인동,우영빌딩,종로 367,37.5739873,127.0180702,3,105,73,0,,5,281,74,0
