NO,시군구,단지명,도로명,위도,경도,bus_count
433,서울특별시 강남구 삼성동,삼성동 롯데캐슬 클라쎄,테헤란로63길 9,37.5058075414294,127.050210929466,3
434,서울특별시 강남구 역삼동,역삼동 업무시설 및 도시형생활주택,테헤란로14길 13,37.4985278449522,127.033482351829,3
437,서울특별시 강남구 역삼동,역삼 노블루체 언주,봉은사로 174,37.5067425962965,127.033119350876,2
439,서울특별시 강남구 역삼동,크레신 타워Ⅱ,테헤란로8길 7,37.4984253527273,127.031695979994,6
440,서울특별시 영등포구 문래동6가,문래투웨니퍼스트,문래북로 10-3,37.5211884073726,126.88649041898,4
442,서울특별시 관악구 봉천동,리더스 오피스텔,봉천로 265-1,37.4884555117845,126.931038051541,4
443,서울특별시 관악구 봉천동,라온2,관악로17길 9,37.4806365942749,126.951166939482,6
444,서울특별시 영등포구 당산동3가,리앤나빌리지,국회대로36길 17,37.525669984755,126.898352711741,3
445,서울특별시 관악구 봉천동,수아주 서울대,남부순환로226길 28,37.4794741595709,126.953517846534,6
446,서울특별시 영등포구 여의도동,(주)신한 여의도 드림리버 오피스텔,은행로 54,37.5297526783018,126.924526719059,5
447,서울특별시 강남구 역삼동,강남뉴스텔,테헤란로4길 34,37.4961509325053,127.030359951232,13
448,서울특별시 영등포구 양평동2가,CO-OP Residence/오목교,영등포로3길 23,37.5257889809235,126.883221841529,0
449,서울특별시 영등포구 당산동5가,당산 삼성쉐르빌,당산로45길 1,37.5332248683278,126.90056112927,9
450,서울특별시 동작구 노량진동,메가스터디타워,노량진로 140,37.5128170490556,126.941666546213,8
451,서울특별시 영등포구 당산동4가,코오롱 스타폴리스,영신로 219,37.5273668672795,126.902880622179,2
452,서울특별시 영등포구 당산동,리스빌,버드나루로 146,37.5311401446491,126.907218816916,4
454,서울특별시 영등포구 양평동5가,위너스하임,양평로21나길 14,37.5367504788259,126.891646614788,3
455,서울특별시 영등포구 양평동2가,디에이원파크,영등포로3길 15,37.5249081805242,126.883332155927,2
457,서울특별시 강동구 성내동,디아람,올림픽로62길 9-12,37.5368362557134,127.123754376736,5
