NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
9819,서울특별시 마포구 노고산동,57-46,57,46,신촌아이스페이스오피스텔,월세,38.02,202410,23,"1,000",100,15,2004,서강로 131,202411~202511,신규,-,,
9832,서울특별시 마포구 서교동,478-23,478,23,(478-23),월세,39.06,202410,23,"14,300",29,5,2003,동교로 107-1,202412~202612,신규,-,,
9839,서울특별시 은평구 역촌동,Sep-85,85,9,삼성캐스빌,전세,39.58,202410,23,"27,700",0,5,2020,은평로3길 18-2,202412~202612,신규,-,,
9861,서울특별시 동대문구 전농동,597-5,597,5,리베르떼,전세,41.4,202410,23,"25,460",0,7,2019,왕산로 250,202411~202611,갱신,-,"24,250",0
9862,서울특별시 성동구 성수동1가,33-23,33,23,위더스 빌,월세,42.76,202410,23,"10,000",90,8,2015,뚝섬로3나길 18,202411~202611,신규,-,,
9870,서울특별시 성북구 하월곡동,90-279,90,279,종암사거리 동우리즈힐스,월세,16.03,202410,23,"1,000",70,5,2022,화랑로1길 17,202411~202512,신규,-,,
9884,서울특별시 중구 신당동,366-126,366,126,남산정은스카이아파트,월세,29.93,202410,23,"1,000",90,2,2005,다산로 56,202410~202610,신규,-,,
9887,서울특별시 중랑구 상봉동,129-26,129,26,(129-26),전세,27.41,202410,23,"20,000",0,6,2021,망우로36길 14,202411~202611,신규,-,,
9896,서울특별시 중랑구 면목동,90-25,90,25,위너빌,전세,25.79,202410,23,"18,000",0,3,2017,봉우재로 156,202412~202612,신규,-,,
9943,서울특별시 구로구 구로동,810,810,0,오피스텔 미래지오,전세,18.54,202410,23,"8,000",0,4,2004,디지털로32나길 17-45,202409~202509,갱신,-,"8,000",0
9963,서울특별시 영등포구 영등포동6가,Jan-47,47,1,썬샤인,전세,42.36,202410,23,"28,000",0,2,2018,영등포로35가길 8,202411~202611,신규,-,,
