NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
1,서울특별시 광진구 화양동,18-12,18,12,광진청년생활,월세,29.52,202412,26,100,37,17,2024,동일로30길 31,202412~202703,신규,-,,
5,서울특별시 동대문구 전농동,620-4,620,4,청량리 창보 리버리치2,월세,19.74,202412,26,"1,000",90,5,2021,왕산로 192,202412~202512,신규,-,,
9,서울특별시 종로구 숭인동,217-16,217,16,블루카운티 숭인Ⅰ,전세,26.97,202412,26,"23,000",0,5,2020,종로62길 23,202501~202701,신규,-,,
10,서울특별시 종로구 효제동,193-1,193,1,BS타워,월세,19.83,202412,26,"17,000",10,6,2019,종로35길 12,202502~202702,신규,-,,
11,서울특별시 성동구 성수동2가,277-37,277,37,성원상떼뷰오피스텔,전세,24.84,202412,26,"14,200",0,5,2003,아차산로15길 10,202501~202701,갱신,-,"13,800",0
12,서울특별시 용산구 갈월동,101-49,101,49,갈월동 에이트리움,전세,30.97,202412,26,"23,000",0,19,2004,한강대로 259,202503~202703,신규,-,,
14,서울특별시 중랑구 망우동,508-33,508,33,YMS CITY,전세,18.87,202412,26,"19,200",0,9,2022,망우로58길 45,202502~202702,신규,-,,
15,서울특별시 광진구 구의동,199-8,199,8,(199-8),전세,27.03,202412,26,"22,584",0,9,2017,아차산로 480,202501~202601,신규,-,,
16,서울특별시 동대문구 휘경동,322-2,322,2,회기역 더이스트팰리스,월세,20.36,202412,26,"3,000",100,15,2020,이문로 34,202501~202601,신규,-,,
17,서울특별시 성북구 동선동4가,295-4,295,4,벨라미아 오피스텔,월세,21.77,202412,26,"12,600",16,12,2011,동소문로27길 31,202502~202702,갱신,-,"13,200",10
18,서울특별시 동대문구 장안동,384-1,384,1,공감대6차,월세,29.52,202412,26,"3,000",50,4,2005,답십리로68길 31,202501~202701,신규,-,,
19,서울특별시 성동구 도선동,53,53,0,한성아펠타워,월세,23.58,202412,26,"5,000",75,6,2017, ,202502~202602,신규,-,,
20,서울특별시 마포구 성산동,593-1,593,1,벽산상암스마트큐브,월세,19.2,202412,26,"14,000",23,15,2017,월드컵로34길 14,202502~202702,신규,-,,
21,서울특별시 마포구 성산동,593-6,593,6,헤리티지 삼영,전세,21.23,202412,26,"25,000",0,12,2024,모래내로1길 8,202502~202702,신규,-,,
22,서울특별시 강서구 화곡동,1111-4,1111,4,포유,전세,17.92,202412,26,"14,300",0,5,2018,화곡로 342,202501~202701,갱신,-,"14,300",0
23,서울특별시 서대문구 대현동,104-5,104,5,신촌푸르지오시티,월세,26.75,202412,26,"19,800",10,21,2014,신촌역로 7,202502~202702,신규,-,,
24,서울특별시 서대문구 대현동,56-34,56,34,파크준,전세,18.23,202412,26,"18,900",0,4,2021,이화여대3길 14,202502~202702,신규,-,,
25,서울특별시 강서구 염창동,283-2,283,2,팔레시움,월세,18.14,202412,26,500,58,5,2012,공항대로 653-9,202501~202601,신규,-,,
26,서울특별시 양천구 신정동,318-6,318,6,동문비젼오피스텔,전세,41.4,202412,26,"18,000",0,7,1999,목동서로 287,202412~202612,신규,-,,
27,서울특별시 마포구 공덕동,111-106,111,106,블레스하임 3차,전세,23.25,202412,26,"28,500",0,11,2022,만리재로 90,202502~202702,신규,-,,
28,서울특별시 강서구 등촌동,847,847,0,호성스카이오피스텔,전세,26.79,202412,26,"19,950",0,8,2020,양천로 396,202502~202702,신규,-,,
29,서울특별시 강서구 등촌동,633-24,633,24,등촌동 Y HAUS 오피스텔,월세,29.07,202412,26,"3,700",72,3,2020,공항대로59다길 39,202501~202601,신규,-,,
30,서울특별시 영등포구 신길동,98-15,98,15,H.Y. 빌딩,월세,17.26,202412,26,"1,000",68,9,2014,영등포로 363,202501~202512,신규,-,,
31,서울특별시 영등포구 양평동5가,Mar-71,71,3,라이즈,전세,14.66,202412,26,"24,000",0,5,2024,양평로22가길 8,202501~202701,신규,-,,
33,서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,34.39,202412,26,"18,900",15,16,1997,개포로 623,202501~202701,신규,-,,
34,서울특별시 영등포구 양평동2가,06-01,6,1,우남프르미아 오피스텔,월세,57.7,202412,26,"30,000",10,9,2005,영등포로 32,202501~202701,신규,-,,
36,서울특별시 서초구 서초동,1337-14,1337,14,이즈타워,월세,31.33,202412,26,"20,000",40,10,2006,사임당로 178,202501~202701,신규,-,,
37,서울특별시 영등포구 당산동,121-61,121,61,여의도 아리스타,월세,20.04,202412,26,"20,000",10,12,2021,버드나루로 129,202502~202702,신규,-,,
39,서울특별시 서초구 서초동,1601-7,1601,7,더 칸톤 서초,월세,46.94,202412,26,"3,000",255,11,2024,효령로55길 10,202501~202601,신규,-,,
40,서울특별시 영등포구 당산동6가,01-03,1,3,위더스하임,월세,27.59,202412,26,"3,000",120,4,2019,양평로 4,202501~202701,신규,-,,
41,서울특별시 강동구 명일동,Feb-46,46,2,고덕역 효성해링턴 타워 더퍼스트,전세,19.51,202412,26,"17,000",0,10,2020,고덕로 262,202502~202702,신규,-,,
42,서울특별시 강동구 천호동,167-97,167,97,다성 이즈빌,월세,29.61,202412,26,"20,000",90,3,2017,성안로27길 57-18,202501~202701,신규,-,,
43,서울특별시 강동구 천호동,166-107,166,107,천호동 오피스텔,전세,33.42,202412,26,"14,200",0,2,2003,천호대로163길 29-11,202502~202702,신규,-,,
46,서울특별시 송파구 방이동,Nov-49,49,11,한 스위트 올림픽파크,전세,15.98,202412,26,"17,100",0,11,2020,백제고분로51길 9,202502~202702,갱신,-,"16,800",0
47,서울특별시 송파구 방이동,Jan-41,41,1,잠실파크웨이,월세,39.48,202412,26,"2,000",150,17,2019,올림픽로34길 5-23,202502~202602,신규,-,,
48,서울특별시 송파구 방이동,Oct-50,50,10,동광팰리스,전세,32.7,202412,26,"29,000",0,8,2018,오금로11길 63-13,202502~202702,신규,-,,
49,서울특별시 강동구 길동,457-4,457,4,거산 유팰리스,월세,29.64,202412,26,"26,000",20,17,2020,천호대로 1131,202501~202601,갱신,-,"30,000",0
50,서울특별시 송파구 방이동,Aug-41,41,8,잠실 벨솔레 오피스텔,월세,29.33,202412,26,"3,000",92,6,2020,올림픽로34길 5-13,202501~202601,갱신,-,"3,000",87
51,서울특별시 금천구 독산동,1004-12,1004,12,THE PALACE80,전세,25.57,202412,26,"27,500",0,6,2024,벚꽃로12길 5,202502~202702,신규,-,,
52,서울특별시 영등포구 영등포동2가,328-11,328,11,여의도 미르웰 한올림 2차 오피스텔,월세,14.53,202412,26,"3,700",55,7,2018,영등포로 247,202412~202512,신규,-,,
54,서울특별시 구로구 구로동,Dec-98,98,12,파인마루오피스텔,월세,20.3,202412,26,"1,000",60,4,2016,구로중앙로18길 17,202412~202512,갱신,-,"1,000",60
56,서울특별시 강서구 마곡동,776,776,0,마곡 파크뷰 대방디엠시티 오피스텔,전세,21.25,202412,26,"16,700",0,10,2019,마곡동로10길 23,202502~202702,신규,-,,
57,서울특별시 강서구 마곡동,776-2,776,2,마곡센트럴대방디엠시티오피스텔,전세,39.97,202412,26,"34,000",0,13,2017,양천로 344,202501~202701,신규,-,,
58,서울특별시 영등포구 영등포동2가,332-3,332,3,밀레니엄시티,월세,31.06,202412,26,"3,000",105,7,2018,영등포로 249,202501~202601,신규,-,,
59,서울특별시 구로구 구로동,651-2,651,2,퀸즈파크 구일,월세,17.36,202412,26,"1,000",65,4,2019,구일로 130,202412~202512,신규,-,,
60,서울특별시 구로구 구로동,103-6,103,6,구로 오네뜨 시티,전세,21.39,202412,26,"15,500",0,10,2022,가마산로 271,202502~202702,신규,-,,
61,서울특별시 금천구 독산동,1156,1156,0,금천 롯데캐슬 골드파크 4차,전세,33.68,202412,26,"27,000",0,29,2019,시흥대로 315,202412~202612,신규,-,,
62,서울특별시 금천구 시흥동,113-6,113,6,제이에스 245,월세,21.91,202412,25,"16,000",14,3,2023,시흥대로77길 24-5,202502~202702,신규,-,,
63,서울특별시 영등포구 양평동2가,Mar-37,37,3,오목교투웨니퍼스트,전세,28.63,202412,25,"27,000",0,4,2017,선유서로25길 19,202501~202701,신규,-,,
64,서울특별시 송파구 잠실동,176,176,0,잠실 포레디움,전세,27.07,202412,25,"22,550",0,5,2019,올림픽로8길 4-11,202502~202702,신규,-,,
65,서울특별시 동대문구 장안동,295-1,295,1,두리빌딩,전세,36.08,202412,25,"15,000",0,5,2009,장한로27길 29,202501~202701,신규,-,,
66,서울특별시 성동구 도선동,2,2,0,왕십리역 요진 와이하우스,전세,29.28,202412,25,"30,000",0,10,2022,고산자로 277,202412~202512,갱신,-,"30,000",0
67,서울특별시 중랑구 상봉동,116-17,116,17,로젠하임,전세,16.14,202412,24,"13,900",0,4,2019,망우로 275,202501~202701,신규,-,,
68,서울특별시 중구 황학동,2033,2033,0,청계리버팰리스A,월세,36.74,202412,24,"23,500",5,4,2019,난계로17길 48,202501~202701,신규,-,,
69,서울특별시 동대문구 이문동,255-192,255,192,디크라쎄,월세,17.21,202412,24,"3,000",55,4,2019,이문로 168,202501~202701,신규,-,,
70,서울특별시 동대문구 답십리동,530-15,530,15,현대썬앤빌 청계,전세,18.1,202412,24,"12,000",0,3,2016,고미술로 71,202502~202702,신규,-,,
71,서울특별시 동대문구 이문동,255-22,255,22,다성이즈빌,전세,17.64,202412,24,"11,500",0,7,2013,이문로 197,202502~202702,신규,-,,
72,서울특별시 용산구 원효로3가,130-1,130,1,용산파크뷰II,전세,24.67,202412,24,"27,400",0,11,2020,원효로 125,202501~202701,갱신,-,"26,200",0
73,서울특별시 용산구 원효로1가,Mar-46,46,3,용산파크뷰,전세,36.64,202412,24,"30,000",0,7,2018,원효로 251,202501~202701,갱신,-,"30,000",0
74,서울특별시 동대문구 청량리동,235-6,235,6,힐스테이트 청량리역,전세,21.2,202412,24,"23,500",0,11,2023,왕산로 239,202502~202702,신규,-,,
75,서울특별시 광진구 자양동,779-3,779,3,금강태극빌,월세,30.93,202412,24,"13,000",20,3,2005,아차산로 353,202501~202701,신규,-,,
76,서울특별시 광진구 자양동,02-02,2,2,건대입구역자이엘라,전세,18.6,202412,24,"26,000",0,11,2022,능동로 87,202501~202701,갱신,사용,"25,000",0
77,서울특별시 광진구 화양동,21-22,21,22,케이타워 오피스텔 B,월세,18.85,202412,24,"1,000",70,7,2013,동일로30길 23,202412~202612,신규,-,,
78,서울특별시 노원구 상계동,1131-12,1131,12,(1131-12),월세,18.81,202412,24,"3,000",20,4,2012,동일로246길 26,202412~202612,신규,-,,
79,서울특별시 동대문구 장안동,342-8,342,8,더아모르,전세,26.53,202412,24,"23,000",0,10,2023,장한로24길 35,202502~202702,신규,-,,
80,서울특별시 성동구 용답동,229-1,229,1,동우리즈힐스,월세,16.67,202412,24,"9,000",40,3,2022,천호대로 380-7,202501~202701,신규,-,,
82,서울특별시 중랑구 상봉동,May-81,81,5,한일써너스빌,전세,37.56,202412,24,"13,500",0,20,2003,망우로 346,202501~202701,신규,-,,
83,서울특별시 강남구 세곡동,586,586,0,강남투엠캐슬,월세,55.83,202412,24,"21,042",27,4,2019,헌릉로569길 3,202412~202703,신규,-,,
84,서울특별시 서초구 서초동,1598-1,1598,1,큐브플러스,월세,21.97,202412,24,"16,000",10,7,2004,사임당로 38,202502~202602,신규,-,,
87,서울특별시 송파구 잠실동,249-10,249,10,(249-10),전세,40.35,202412,24,"27,000",0,3,2016,백제고분로19길 4-3,202501~202701,갱신,-,"26,000",0
88,서울특별시 영등포구 양평동6가,09-03,9,3,선유도 소미골드Ⅳ,월세,28.69,202412,24,"27,000",5,7,2020,양평로28가길 8,202501~202701,신규,-,,
90,서울특별시 영등포구 당산동1가,223-12,223,12,당산빌리지,월세,29.87,202412,24,"20,000",13,2,2015,당산로20길 24,202501~202701,신규,-,,
91,서울특별시 영등포구 신길동,1116,1116,0,토마토오피스텔,전세,20.16,202412,24,"13,600",0,1,2004,여의대방로 223,202501~202701,갱신,-,"13,600",0
93,서울특별시 동작구 상도동,183-28,183,28,그린시티,전세,13.5,202412,24,"12,000",0,3,2018,상도로26가길 9,202502~202702,신규,-,,
94,서울특별시 관악구 봉천동,868-3,868,3,JK타워 오피스텔,월세,17.97,202412,24,"3,000",65,15,2020,남부순환로220길 20,202412~202512,갱신,사용,"3,000",61
95,서울특별시 강남구 역삼동,708-20,708,20,금천빌딩,전세,29.72,202412,24,"18,900",0,11,2005,테헤란로52길 15,202501~202701,신규,-,,
96,서울특별시 영등포구 당산동,171-15,171,15,(171-15),월세,18.99,202412,24,"12,000",7,8,2012,버드나루로23길 25,202501~202701,신규,-,,
98,서울특별시 영등포구 양평동5가,24-1,24,1,선유도역 마들렌 오피스텔,월세,25.82,202412,24,"10,000",41,3,2021,양평로21다길 14,202502~202702,신규,-,,
99,서울특별시 영등포구 당산동3가,395-12,395,12,해라톤,전세,27.4,202412,24,"28,870",0,2,2020,당산로33길 21,202501~202701,신규,-,,
103,서울특별시 구로구 구로동,110-7,110,7,신도림 명남 더블레스,월세,46.57,202412,24,"31,200",5,11,2021,구로중앙로28다길 12,202412~202612,갱신,-,"32,500",0
105,서울특별시 강서구 마곡동,760-1,760,1,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,전세,20.84,202412,24,"15,790",0,4,2017,마곡중앙로 161-11,202412~202612,신규,-,,
107,서울특별시 구로구 오류동,33-40,33,40,칸타빌레 9차,전세,16.83,202412,24,"13,000",0,11,2022,경인로 232,202502~202702,신규,-,,
108,서울특별시 금천구 독산동,330-7,330,7,동우오피스텔,월세,29.97,202412,24,100,37,10,2023,범안로17길 55,202412~202703,신규,-,,
109,서울특별시 구로구 구로동,1129-51,1129,51,마블힐스,전세,27.66,202412,24,"22,000",0,7,2022,디지털로32가길 104,202501~202701,신규,-,,
110,서울특별시 영등포구 영등포동3가,20,20,0,WD스퀘어,전세,16.23,202412,24,"15,000",0,9,2020,영중로4길 9,202502~202702,신규,-,,
112,서울특별시 영등포구 영등포동1가,121-5,121,5,여의도리슈빌DS,월세,21.41,202412,24,"10,000",55,7,2020,신길로 287,202412~202511,신규,-,,
113,서울특별시 영등포구 영등포동1가,121-3,121,3,명남더블레스,월세,18.24,202412,24,100,28,9,2021,경인로108길 6,202412~202703,신규,-,,
115,서울특별시 영등포구 영등포동1가,127,127,0,신한헤스티아,월세,29.01,202412,24,"18,000",13,8,2016,경인로108길 4,202501~202701,신규,-,,
116,서울특별시 강서구 마곡동,758,758,0,마곡시티오피스텔,월세,24.4,202412,24,"15,075",8,10,2016,마곡서로 170,202502~202602,신규,-,,
118,서울특별시 은평구 대조동,197-16,197,16,경인에버빌,월세,44.33,202412,24,"22,000",24,5,2020,연서로26길 3-8,202501~202701,신규,-,,
119,서울특별시 강서구 등촌동,637-27,637,27,유원더블레스,월세,21,202412,24,"20,800",8,8,2020,화곡로66길 87,202502~202702,신규,-,,
120,서울특별시 강서구 화곡동,1110,1110,0,연우넥스트파크뷰,월세,23.75,202412,24,"5,000",60,4,2019,화곡로 354-5,202502~202602,신규,-,,
121,서울특별시 마포구 공덕동,16-10,16,10,에스테반 오피스텔,월세,18.83,202412,24,"3,000",55,3,2017,만리재로7길 2-3,202412~202512,신규,-,,
122,서울특별시 강서구 화곡동,24-72,24,72,The Forest (화곡Ⅱ),월세,28.84,202412,24,"1,000",90,4,2021,화곡로42나길 14-12,202412~202512,신규,-,,
123,서울특별시 강서구 가양동,187-7,187,7,플래티노,월세,17.24,202412,24,"3,220",12,5,2020,양천로49길 34,202406~202609,갱신,-,100,30
124,서울특별시 양천구 목동,514-18,514,18,어바니엘,월세,19.6,202412,24,"1,000",70,10,2018,공항대로 630,202501~202601,신규,-,,
126,서울특별시 양천구 신정동,922-1,922,1,제이클래스목동주상복합,월세,19.31,202412,24,100,24,5,2023,오목로 147,202412~202703,신규,-,,
127,서울특별시 강서구 가양동,257-1,257,1,마곡보타닉투웨니퍼스트,전세,28.33,202412,24,"26,000",0,10,2020,양천로47길 12,202501~202701,갱신,-,"26,000",0
128,서울특별시 강동구 길동,414-4,414,4,강동 와이시티,월세,18.26,202412,24,"1,000",50,4,2014,천호대로175길 42,202501~202601,신규,-,,
129,서울특별시 강동구 천호동,167-73,167,73,에스아이팰리스,월세,18.08,202412,24,100,31,4,2020,진황도로27길 23,202412~202703,신규,-,,
131,서울특별시 강동구 성내동,Jun-43,43,6,비바체,전세,24.64,202412,24,"18,165",0,3,2017,올림픽로62길 29,202502~202702,신규,-,,
134,서울특별시 송파구 문정동,639-5,639,5,힐스테이트에코송파,월세,21.06,202412,24,"3,000",73,4,2017,정의로7길 13,202501~202601,신규,-,,
135,서울특별시 송파구 방이동,Jun-46,46,6,잠실 에스뜨레야90,월세,50.98,202412,23,"5,000",250,15,2023,백제고분로51길 23,202412~202612,신규,-,,
136,서울특별시 송파구 문정동,652-2,652,2,문정 오벨리스크,월세,22.12,202412,23,"3,000",75,14,2018,송파대로 145,202412~202512,신규,-,,
137,서울특별시 송파구 거여동,605,605,0,휴먼빌 시티,월세,24.15,202412,23,"17,500",3,4,2020,위례송파로3길 12,202501~202701,신규,-,,
138,서울특별시 송파구 방이동,Jan-46,46,1,이스턴잠실,월세,41.08,202412,23,"30,000",5,15,2020,오금로11길 43-16,202501~202701,신규,-,,
139,서울특별시 강동구 길동,387-4,387,4,다성 이즈빌,월세,17.37,202412,23,"14,690",13,2,2018,천중로42길 68,202502~202702,신규,-,,
140,서울특별시 송파구 방이동,Oct-51,51,10,성희파크빌,전세,19.78,202412,23,"20,500",0,5,2020,백제고분로 507,202502~202702,신규,-,,
144,서울특별시 금천구 시흥동,995-8,995,8,골드리버,월세,27.28,202412,23,"19,800",5,5,2021,시흥대로61길 16,202502~202702,신규,-,,
145,서울특별시 영등포구 영등포동1가,29,29,0,여의도의아침,월세,16.4,202412,23,"1,000",50,3,2012,경인로114길 12,202412~202512,신규,-,,
146,서울특별시 구로구 오류동,Feb-48,48,2,칸타빌레 8차,전세,17.3,202412,23,"14,700",0,12,2022,경인로20나길 12,202412~202612,갱신,-,"14,000",0
153,서울특별시 강서구 마곡동,739-4,739,4,마곡 헤리움1차,전세,24.07,202412,23,"14,000",0,4,2015,마곡서1로 115-1,202501~202601,신규,-,,
154,서울특별시 강서구 마곡동,758-2,758,2,마곡일성트루엘플래닛,월세,21.43,202412,23,"3,000",63,14,2016,마곡중앙로 161-22,202502~202602,신규,-,,
155,서울특별시 강서구 마곡동,793,793,0,유림트윈파크,월세,19.99,202412,23,"1,000",57,10,2015,강서로 419,202501~202601,신규,-,,
156,서울특별시 금천구 가산동,237-50,237,50,세교예지안 7차,전세,39.64,202412,23,"23,000",0,6,2017,가산로3가길 6,202412~202612,신규,-,,
157,서울특별시 금천구 가산동,776,776,0,가산대명벨리온,월세,16.61,202412,23,500,60,10,2017,가산디지털2로 127-33,202412~202512,신규,-,,
158,서울특별시 구로구 구로동,Feb-44,44,2,몽삐에뜨로즈,전세,26.59,202412,23,"23,500",0,13,2022,공원로8길 30-12,202501~202701,신규,-,,
161,서울특별시 영등포구 영등포동2가,29-58,29,58,영등포 오피스텔,월세,20.6,202412,23,"10,500",5,7,2014,버드나루로7길 11,202502~202702,신규,-,,
162,서울특별시 구로구 고척동,76-14,76,14,고척동 헤리움 더원,월세,19.01,202412,23,"1,000",65,12,2021,중앙로 18,202412~202512,신규,-,,
163,서울특별시 영등포구 영등포동8가,Aug-45,45,8,리안펠리체,월세,18.66,202412,23,"9,000",25,4,2014,영중로 114-8,202502~202702,신규,-,,
165,서울특별시 용산구 한강로3가,16-85,16,85,지에스 한강에클라트,전세,40.86,202412,23,"20,500",0,9,2006,이촌로 1,202501~202601,갱신,-,"20,000",0
166,서울특별시 중구 황학동,1173,1173,0,신당 큐브스테이트,전세,21.46,202412,23,"21,000",0,12,2022,마장로 110,202502~202702,신규,-,,
167,서울특별시 종로구 숭인동,1392,1392,0,-1392,월세,20.18,202412,23,"3,000",50,6,2013,난계로29가길 17,202412~202512,갱신,-,"1,000",58
168,서울특별시 동대문구 청량리동,02-06,2,6,에이플러스 청량,월세,15.06,202412,23,"2,660",10,7,2020,왕산로 297,202409~202612,갱신,-,60,25
169,서울특별시 용산구 후암동,339-4,339,4,(339-4),월세,34.38,202412,23,"12,000",15,6,1990,두텁바위로58길 7,202501~202701,신규,-,,
170,서울특별시 강북구 수유동,Jan-48,48,1,제네스타워,전세,29.25,202412,23,"12,000",0,9,2012,덕릉로 82,202502~202702,신규,-,,
171,서울특별시 동대문구 답십리동,494-1,494,1,한일노벨리아,월세,19.05,202412,23,500,60,9,2016,천호대로 289,202502~202702,신규,-,,
172,서울특별시 중랑구 면목동,105-43,105,43,성진빌딩,전세,27.36,202412,23,"12,000",0,7,2009,겸재로44길 21,202501~202701,갱신,-,"12,000",0
173,서울특별시 성동구 성수동1가,656-449,656,449,YG FOREST,전세,16.8,202412,23,"30,000",0,9,2022,왕십리로8길 6,202502~202702,신규,-,,
174,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,월세,18.96,202412,23,"1,000",75,8,2023,상계로 32,202412~202512,신규,-,,
176,서울특별시 성북구 보문동4가,Feb-77,77,2,브라운홈스,월세,21.84,202412,23,"10,000",31,2,1972,보문로 78,202501~202701,신규,-,,
177,서울특별시 중구 충무로5가,Feb-36,36,2,충무로엘크루메트로시티2,월세,23.03,202412,23,"1,000",74,2,2016,퇴계로49길 14,202412~202512,신규,-,,
179,서울특별시 동대문구 장안동,373-1,373,1,양우 내안애 애플,전세,18.64,202412,23,"8,500",0,11,2014,장한로 99,202501~202701,신규,-,,
180,서울특별시 동대문구 휘경동,183-245,183,245,빌리원,월세,15.9,202412,23,"3,000",55,9,2014,이문로 42-1,202412~202512,신규,-,,
181,서울특별시 동대문구 이문동,288-28,288,28,오피스55,전세,16.81,202412,23,"13,000",0,7,2013,휘경로 5-5,202501~202701,신규,-,,
184,서울특별시 도봉구 창동,608-78,608,78,(608-78),전세,45.36,202412,23,"16,000",0,2,2016,도봉로104길 111-7,202304~202504,신규,-,,
185,서울특별시 성동구 도선동,256-5,256,5,성동 트레비스타 오피스텔,월세,18.39,202412,23,"1,000",104,10,2022,왕십리로 332,202502~202602,갱신,-,"1,000",99
186,서울특별시 동대문구 답십리동,492-4,492,4,답십리한화오벨리스크,월세,34.53,202412,23,"10,000",30,11,2004,천호대로 319,202502~202702,신규,-,,
189,서울특별시 도봉구 창동,623-48,623,48,북한산 드림시티,월세,29.89,202412,23,"21,600",10,11,2020,도봉로110마길 42,202501~202701,신규,-,,
190,서울특별시 동대문구 휘경동,319-5,319,5,휘경동 코업레지던스,월세,13.86,202412,23,500,45,8,2002,회기로28길 7,202412~202602,신규,-,,
193,서울특별시 중구 황학동,1749,1749,0,케렌시아청계,전세,29.98,202412,23,"29,300",0,3,2020,난계로17길 40,202501~202701,신규,-,,
194,서울특별시 동대문구 휘경동,317-11,317,11,리센스,전세,16.19,202412,23,"18,500",0,5,2021,망우로 29,202502~202702,신규,-,,
195,서울특별시 서초구 서초동,1337-2,1337,2,아크로텔 강남역,월세,22.67,202412,23,"21,000",5,16,2016,효령로77길 34,202501~202701,갱신,사용,"22,000",0
196,서울특별시 서초구 서초동,1338-8,1338,8,강남역파라디아골드,전세,20.16,202412,23,"18,000",0,14,2017,효령로79길 1,202501~202701,신규,-,,
197,서울특별시 관악구 남현동,602-47,602,47,사당아트오피스텔,월세,17.86,202412,23,"2,000",50,8,1998,승방6길 26,202412~202612,신규,-,,
198,서울특별시 영등포구 대림동,1101-7,1101,7,G밸리소홈,월세,20.21,202412,23,"8,000",31,4,2018,도림천로19길 11,202501~202701,신규,-,,
199,서울특별시 관악구 봉천동,895-2,895,2,명문타워,월세,13.43,202412,23,"16,000",15,7,2022,청룡3길 17,202502~202702,신규,-,,
200,서울특별시 영등포구 문래동3가,82-16,82,16,스테이트 디 어반문래,월세,18.7,202412,23,"16,900",40,6,2022,문래북로 58-8,202501~202701,갱신,-,"17,000",50
201,서울특별시 동작구 신대방동,698,698,0,신라스테이해링턴타워,전세,20.34,202412,23,"12,750",0,6,2015,시흥대로 596,202502~202702,신규,-,,
202,서울특별시 영등포구 신길동,449-20,449,20,콘펠리체,월세,14.88,202412,23,"1,000",70,5,2018,영등포로 402,202501~202512,갱신,-,"1,000",66
203,서울특별시 강남구 역삼동,837-18,837,18,강남역 서희스타힐스 오피스텔,월세,23.58,202412,23,"16,650",15,9,2012,도곡로3길 19,202501~202701,신규,-,,
204,서울특별시 영등포구 당산동,121-44,121,44,한산 오피스텔,월세,24.09,202412,23,"1,000",52,12,2010,버드나루로 142,202501~202601,신규,-,,
206,서울특별시 동작구 노량진동,16-1,16,1,노량진 드림스퀘어 복합빌딩,전세,24.13,202412,23,"19,800",0,11,2020,노들로2길 7,202503~202703,신규,-,,
208,서울특별시 서초구 서초동,1339-7,1339,7,청화오피스텔,월세,19.27,202412,23,"1,050",105,15,2022,효령로 431,202502~202602,갱신,-,"1,000",100
209,서울특별시 강남구 자곡동,655,655,0,강남 푸르지오시티 2차(PRUGIO CITYⅡ),월세,21.87,202412,23,"14,300",7,8,2014,자곡로 192,202412~202612,갱신,-,"16,000",0
210,서울특별시 강남구 자곡동,651,651,0,강남유탑유블레스,월세,25.7,202412,23,"1,000",74,9,2014,자곡로 180,202501~202601,갱신,사용,"1,000",70
211,서울특별시 강남구 삼성동,144-1,144,1,삼성동 현대위버포레 오피스텔,전세,46.88,202412,23,"58,000",0,7,2022,삼성로95길 9,202412~202612,신규,-,,
214,서울특별시 서초구 서초동,1582-3,1582,3,서초센트럴IPARK,전세,54.55,202412,23,"68,000",0,21,2020,반포대로18길 36,202501~202701,신규,-,,
215,서울특별시 서초구 서초동,1309-1,1309,1,서초동오피스텔,월세,32.6,202412,23,"16,500",40,3,2004,서초대로73길 54,202501~202701,신규,-,,
216,서울특별시 서초구 서초동,1589-14,1589,14,(1589-14),월세,24.13,202412,23,"9,900",15,4,1990,효령로53길 21,202501~202701,신규,-,,
217,서울특별시 은평구 역촌동,Aug-42,42,8,거장메카,월세,16.53,202412,23,"1,000",65,3,2018,진흥로 35,202412~202612,신규,-,,
219,서울특별시 강서구 화곡동,935-2,935,2,제이투 리더스뷰,월세,29.63,202412,23,"1,000",110,12,2022,곰달래로16길 34,202412~202612,신규,-,,
220,서울특별시 마포구 공덕동,30-10,30,10,솔리스타,월세,18.79,202412,23,"1,000",80,2,2018,만리재로 113,202501~202601,신규,-,,
222,서울특별시 은평구 진관동,100-3,100,3,아이파크 포레스트 게이트,월세,24.91,202412,23,"12,200",12,17,2013,통일로 1010,202501~202701,갱신,-,"13,500",5
223,서울특별시 마포구 도화동,571,571,0,나눔빌딩,월세,23.04,202412,23,"1,000",79,11,2015,도화길 43,202502~202701,신규,-,,
224,서울특별시 양천구 목동,905-28,905,28,목동블루오피스텔,월세,27.81,202412,23,"2,000",120,12,2022,목동서로 133-3,202412~202612,신규,-,,
225,서울특별시 강서구 등촌동,656-36,656,36,아이디움,월세,17.31,202412,23,500,53,9,2014,화곡로64길 28,202501~202601,갱신,-,500,52
226,서울특별시 마포구 성산동,590-1,590,1,상암 두산위브센티움,월세,23.69,202412,23,100,80,15,2013,월드컵로36길 14,202412~202512,신규,-,,
227,서울특별시 은평구 진관동,66,66,0,은평뉴타운 꿈에그린,월세,19.84,202412,23,"2,000",52,8,2018,진관3로 33,202501~202508,갱신,-,"2,000",49
230,서울특별시 마포구 신공덕동,1-48,1,48,갑을명가시티2,전세,16.76,202412,23,"11,500",0,12,2016,만리재로 67,202501~202601,갱신,-,"12,000",0
231,서울특별시 강서구 화곡동,899-23,899,23,(899-23),전세,30.71,202412,23,"9,450",0,4,1996,강서로7길 20-22,202501~202701,신규,-,,
