NO,시군구,도로명,위도,경도,bus_count
1,서울특별시 광진구 화양동,동일로30길 31,37.5477031478558,127.069100912245,10
5,서울특별시 동대문구 전농동,왕산로 192,37.5795977760066,127.044610134844,14
9,서울특별시 종로구 숭인동,종로62길 23,37.5728440434339,127.019676934141,5
10,서울특별시 종로구 효제동,종로35길 12,37.5717984746063,127.004129353368,12
11,서울특별시 성동구 성수동2가,아차산로15길 10,37.5436962428787,127.062606836404,6
12,서울특별시 용산구 갈월동,한강대로 259,37.5415842490492,126.972412765985,14
14,서울특별시 중랑구 망우동,망우로58길 45,37.5962589310028,127.094239708313,14
15,서울특별시 광진구 구의동,아차산로 480,37.5404545279486,127.095243453597,16
16,서울특별시 동대문구 휘경동,이문로 34,37.590366180605,127.056577777177,7
17,서울특별시 성북구 동선동4가,동소문로27길 31,37.5957235430055,127.019986085485,6
18,서울특별시 동대문구 장안동,답십리로68길 31,37.5710534170736,127.06950304778,3
20,서울특별시 마포구 성산동,월드컵로34길 14,37.5650651601993,126.903940151185,7
21,서울특별시 마포구 성산동,모래내로1길 8,37.564766939793,126.904173247441,7
22,서울특별시 강서구 화곡동,화곡로 342,37.5541250502251,126.851747033493,9
23,서울특별시 서대문구 대현동,신촌역로 7,37.5573527481625,126.942500021232,17
24,서울특별시 서대문구 대현동,이화여대3길 14,37.5581319342,126.944965558143,12
25,서울특별시 강서구 염창동,공항대로 653-9,37.5477992757988,126.877477598749,6
26,서울특별시 양천구 신정동,목동서로 287,37.5215174537183,126.869076255667,13
27,서울특별시 마포구 공덕동,만리재로 90,37.5483131426938,126.959470599452,2
28,서울특별시 강서구 등촌동,양천로 396,37.5657202762574,126.845589450827,12
29,서울특별시 강서구 등촌동,공항대로59다길 39,37.5531586885452,126.865718968456,10
30,서울특별시 영등포구 신길동,영등포로 363,37.514562837386,126.918791878844,7
31,서울특별시 영등포구 양평동5가,양평로22가길 8,37.5387871820428,126.893520795069,6
33,서울특별시 강남구 개포동,개포로 623,37.494341198165,127.079647753194,3
34,서울특별시 영등포구 양평동2가,영등포로 32,37.5227720747174,126.884790255902,4
36,서울특별시 서초구 서초동,사임당로 178,37.4922279155329,127.029056271279,23
37,서울특별시 영등포구 당산동,버드나루로 129,37.5296306828558,126.907200322459,10
39,서울특별시 서초구 서초동,효령로55길 10,37.4852094743801,127.014668789154,15
40,서울특별시 영등포구 당산동6가,양평로 4,37.5323231019629,126.905668374121,10
41,서울특별시 강동구 명일동,고덕로 262,37.5546676606413,127.154622234195,4
42,서울특별시 강동구 천호동,성안로27길 57-18,37.5393694735523,127.132504074328,9
43,서울특별시 강동구 천호동,천호대로163길 29-11,37.5383439318603,127.130828582863,12
46,서울특별시 송파구 방이동,백제고분로51길 9,37.5160877033997,127.114295348456,10
47,서울특별시 송파구 방이동,올림픽로34길 5-23,37.5165606015761,127.111793636499,9
48,서울특별시 송파구 방이동,오금로11길 63-13,37.5154884370529,127.114490798568,10
49,서울특별시 강동구 길동,천호대로 1131,37.534798519761,127.13723890201,13
50,서울특별시 송파구 방이동,올림픽로34길 5-13,37.5164187045556,127.111304997116,11
51,서울특별시 금천구 독산동,벚꽃로12길 5,37.4651662131287,126.890663155521,5
52,서울특별시 영등포구 영등포동2가,영등포로 247,37.5194459168674,126.909029174535,15
54,서울특별시 구로구 구로동,구로중앙로18길 17,37.495243347795,126.890201031026,8
56,서울특별시 강서구 마곡동,마곡동로10길 23,37.5686751510585,126.839355910873,8
57,서울특별시 강서구 마곡동,양천로 344,37.5682660192783,126.840359563104,9
58,서울특별시 영등포구 영등포동2가,영등포로 249,37.5193373570157,126.909160524093,15
59,서울특별시 구로구 구로동,구일로 130,37.4966766678027,126.872108458484,3
60,서울특별시 구로구 구로동,가마산로 271,37.4963996027511,126.890291049446,7
61,서울특별시 금천구 독산동,시흥대로 315,37.4609911113644,126.896265163559,9
62,서울특별시 금천구 시흥동,시흥대로77길 24-5,37.4583866563086,126.897515786769,13
63,서울특별시 영등포구 양평동2가,선유서로25길 19,37.5245026993589,126.883941521256,4
64,서울특별시 송파구 잠실동,올림픽로8길 4-11,37.5111851724433,127.079324519028,4
65,서울특별시 동대문구 장안동,장한로27길 29,37.5729890434502,127.069928666925,2
66,서울특별시 성동구 도선동,고산자로 277,37.5644585416417,127.035872012436,4
67,서울특별시 중랑구 상봉동,망우로 275,37.5960076896898,127.08314906928,6
68,서울특별시 중구 황학동,난계로17길 48,37.5697467824607,127.020729059104,6
69,서울특별시 동대문구 이문동,이문로 168,37.6015517331196,127.062273317641,0
70,서울특별시 동대문구 답십리동,고미술로 71,37.5660958189944,127.055084670534,4
71,서울특별시 동대문구 이문동,이문로 197,37.6041196147328,127.061817600403,0
72,서울특별시 용산구 원효로3가,원효로 125,37.5337614412233,126.957133637099,9
73,서울특별시 용산구 원효로1가,원효로 251,37.5401969265455,126.968593322982,15
74,서울특별시 동대문구 청량리동,왕산로 239,37.5830461915113,127.048169864241,16
75,서울특별시 광진구 자양동,아차산로 353,37.5372444977042,127.08209431704,4
76,서울특별시 광진구 자양동,능동로 87,37.5391217174545,127.069633616599,8
77,서울특별시 광진구 화양동,동일로30길 23,37.5477092379564,127.068545520549,10
78,서울특별시 노원구 상계동,동일로246길 26,37.6781030157686,127.056303919151,9
79,서울특별시 동대문구 장안동,장한로24길 35,37.5705127421704,127.072772215516,0
80,서울특별시 성동구 용답동,천호대로 380-7,37.561560875022,127.061221939829,4
82,서울특별시 중랑구 상봉동,망우로 346,37.5974524780309,127.091369638781,8
83,서울특별시 강남구 세곡동,헌릉로569길 3,37.4668070363313,127.101361354568,5
84,서울특별시 서초구 서초동,사임당로 38,37.4880750904502,127.014262743844,13
87,서울특별시 송파구 잠실동,백제고분로19길 4-3,37.5052935863737,127.086890167585,8
88,서울특별시 영등포구 양평동6가,양평로28가길 8,37.5410173684696,126.889920198221,6
90,서울특별시 영등포구 당산동1가,당산로20길 24,37.523042239586,126.898699043635,8
91,서울특별시 영등포구 신길동,여의대방로 223,37.5068228885052,126.922744169929,8
93,서울특별시 동작구 상도동,상도로26가길 9,37.5037223920085,126.938459682908,8
94,서울특별시 관악구 봉천동,남부순환로220길 20,37.4804050770956,126.951487954634,13
95,서울특별시 강남구 역삼동,테헤란로52길 15,37.5031717841689,127.047936645535,8
96,서울특별시 영등포구 당산동,버드나루로23길 25,37.5285637278067,126.906870618009,12
98,서울특별시 영등포구 양평동5가,양평로21다길 14,37.537350780335,126.892002042795,5
99,서울특별시 영등포구 당산동3가,당산로33길 21,37.5275831659849,126.894644955823,8
103,서울특별시 구로구 구로동,구로중앙로28다길 12,37.5010594023394,126.889012861113,0
105,서울특별시 강서구 마곡동,마곡중앙로 161-11,37.5680142599276,126.826732885929,0
107,서울특별시 구로구 오류동,경인로 232,37.4969706131633,126.84649376062,8
108,서울특별시 금천구 독산동,범안로17길 55,37.4689634293678,126.893420843411,11
109,서울특별시 구로구 구로동,디지털로32가길 104,37.4795022069388,126.896082202276,17
110,서울특별시 영등포구 영등포동3가,영중로4길 9,37.5174648639129,126.907268554514,18
112,서울특별시 영등포구 영등포동1가,신길로 287,37.517189170546,126.911876090769,13
113,서울특별시 영등포구 영등포동1가,경인로108길 6,37.5171475577601,126.910933209245,15
115,서울특별시 영등포구 영등포동1가,경인로108길 4,37.5171284230418,126.910650330299,16
116,서울특별시 강서구 마곡동,마곡서로 170,37.5693037061292,126.825592637016,0
118,서울특별시 은평구 대조동,연서로26길 3-8,37.6175053509491,126.920453250347,20
119,서울특별시 강서구 등촌동,화곡로66길 87,37.5564900268993,126.858235528487,10
120,서울특별시 강서구 화곡동,화곡로 354-5,37.5548757756127,126.852622406038,10
122,서울특별시 강서구 화곡동,화곡로42나길 14-12,37.5467979489614,126.846938432377,4
123,서울특별시 강서구 가양동,양천로49길 34,37.5701637769997,126.840888097563,7
124,서울특별시 양천구 목동,공항대로 630,37.5465353390135,126.874714381046,6
126,서울특별시 양천구 신정동,오목로 147,37.5250701869996,126.853714930254,10
127,서울특별시 강서구 가양동,양천로47길 12,37.5709934300988,126.838117426586,3
128,서울특별시 강동구 길동,천호대로175길 42,37.5365024541122,127.137425545214,9
129,서울특별시 강동구 천호동,진황도로27길 23,37.5394669965987,127.131828859786,12
131,서울특별시 강동구 성내동,올림픽로62길 29,37.5365787454565,127.12453001115,12
134,서울특별시 송파구 문정동,정의로7길 13,37.4852878303815,127.115119595215,0
135,서울특별시 송파구 방이동,백제고분로51길 23,37.5165079479868,127.112872556894,9
136,서울특별시 송파구 문정동,송파대로 145,37.4834277630334,127.123013623398,5
137,서울특별시 송파구 거여동,위례송파로3길 12,37.4862028491137,127.14281243948,12
138,서울특별시 송파구 방이동,오금로11길 43-16,37.5163610405323,127.11254091088,9
139,서울특별시 강동구 길동,천중로42길 68,37.5381577140775,127.138399951103,9
140,서울특별시 송파구 방이동,백제고분로 507,37.5156589474228,127.115098024419,9
144,서울특별시 금천구 시흥동,시흥대로61길 16,37.4540224162715,126.899714335865,24
145,서울특별시 영등포구 영등포동1가,경인로114길 12,37.5183384343738,126.914372707655,13
146,서울특별시 구로구 오류동,경인로20나길 12,37.495162312938,126.84307898644,6
153,서울특별시 강서구 마곡동,마곡서1로 115-1,37.5667077205368,126.818571159801,6
154,서울특별시 강서구 마곡동,마곡중앙로 161-22,37.568638335633,126.82578514534,0
155,서울특별시 강서구 마곡동,강서로 419,37.5629853472673,126.839209217691,8
