NO,단지명,도로명,지번주소,위도,경도,매물 ID,CCTV 카메라 대수
1968,두리하임,국회대로56길 33-1,서울특별시 영등포구 영등포동2가 94-314,37.5223809,126.9107626,1968,177
1969,삼부르네상스파크빌,남부순환로 1295,서울특별시 구로구 가리봉동 137-4,37.47890524,126.8948103,1969,276
1970,해리움팰리스Ⅱ,독산로101길 44,서울특별시 금천구 독산동 962-16,37.47696857,126.9029747,1970,337
1971,포스시티,경인로20길 6,서울특별시 구로구 오류동 51-31,37.4954176,126.8433738,1971,367
1972,조호럭스빌,시흥대로47길 28-7,서울특별시 금천구 시흥동 990-24,37.45023084,126.9002167,1972,199
1973,디.하우재,영신로54길 8,서울특별시 영등포구 영등포동8가 31-4,37.52624299,126.9037947,1973,195
1974,메종드로제,곰달래로18길 33-21,서울특별시 강서구 화곡동 926-3,37.52881716,126.8426285,1974,499
1975,파라다이스텔에스비,연희로 158,서울특별시 서대문구 연희동 80-7,37.57122726,126.9348352,1975,124
1976,현주 오피스텔,잔다리로 106,서울특별시 마포구 서교동 458-10,37.55662063,126.9146958,1976,129
1977,양평쉐르빌,선유로53길 8,서울특별시 영등포구 양평동4가 277-2,37.53727379,126.8976177,1977,134
1978,역삼프라임,역삼로 158,서울특별시 강남구 역삼동 789-9,37.49483798,127.0364307,1978,275
1979,윤성타워,봉천로12길 59,서울특별시 관악구 신림동 1423-10,37.48609323,126.9302377,1979,425
1980,아스테르,면목로92가길 5,서울특별시 중랑구 상봉동 104-40,37.59480976,127.0867405,1980,325
1981,서울역풍림아이원플러스,만리재로 202,서울특별시 용산구 서계동 219-17,37.55493642,126.9684545,1981,365
1982,신내역 프라디움 더 테라스,용마산로 670,서울특별시 중랑구 망우동 584-0,37.61076832,127.1021136,1982,62
1983,(525-23),겸재로 243,서울특별시 중랑구 망우동 525-23,37.59016353,127.0945998,1983,367
1984,종로1번가,청계천로 67,서울특별시 종로구 관철동 155-0,37.56889982,126.9850908,1984,177
1985,더 트윈2,아차산로46가길 5,서울특별시 광진구 자양동 219-23,37.53656048,127.0812799,1985,76
1986,M5,회기로 112,서울특별시 동대문구 회기동 60-145,37.59129728,127.0488781,1986,144
1987,하이리움,도봉로73길 19,서울특별시 강북구 수유동 87-1,37.63244335,127.022869,1987,283
1988,(17-67),광나루로16길 25,서울특별시 광진구 화양동 17-67,37.54647024,127.0690604,1988,164
1989,(251-25),자양로 146,서울특별시 광진구 구의동 251-25,37.54065131,127.0837092,1989,79
1990,성수리치빌,광나루로2가길 11,서울특별시 성동구 성수동2가 299-178,37.54881703,127.0539235,1990,192
1991,우성캐릭터199,언주로 118,서울특별시 강남구 도곡동 467-24,37.4865169,127.0518829,1991,113
