NO,시군구,도로명,위도,경도,bus_count
1673,서울특별시 관악구 신림동,신원로 35,37.4823122359729,126.929023376476,6
1675,서울특별시 강남구 논현동,학동로 342,37.5167560126387,127.040841265738,4
1676,서울특별시 송파구 잠실동,삼전로7길 9,37.5052789640743,127.087535598354,5
1682,서울특별시 영등포구 양평동3가,양산로7길 3,37.4925598459418,127.143677831315,10
1692,서울특별시 송파구 방이동,오금로11길 65,37.5151303543718,127.114049905,4
1695,서울특별시 성동구 마장동,마장로46길 4,37.56741587166,127.04579715198,0
1697,서울특별시 중구 황학동,마장로18길 16-1,37.5671252007558,127.022920842712,6
1704,서울특별시 종로구 숭인동,지봉로4길 13,37.5713290295788,127.016691294124,0
1708,서울특별시 중랑구 상봉동,면목로96길 34,37.5960143168537,127.08756511818,3
1710,서울특별시 동대문구 장안동,답십리로 271-6,37.57295102402,127.070831173533,0
1712,서울특별시 중구 무학동,다산로 239,37.5645179861371,127.015790955784,3
1713,서울특별시 동대문구 휘경동,이문로 22,37.5895567328256,127.055622225035,3
1714,서울특별시 중랑구 면목동,면목로69길 16,37.5872526201728,127.086344176161,2
1727,서울특별시 용산구 문배동,백범로90길 74,37.5380767541768,126.969865080417,7
1729,서울특별시 종로구 숭인동,종로 344,37.5727228633137,127.016083157911,2
1731,서울특별시 강북구 미아동,도봉로 290,37.6342034297487,127.023773791961,4
1736,서울특별시 중랑구 망우동,상봉로28길 21,37.5959839634392,127.09422101752,5
1746,서울특별시 중구 오장동,마른내로 126-1,37.5643884715851,127.00195688803,1
1749,서울특별시 동대문구 청량리동,약령시로 125,37.5832939409534,127.043838172762,5
1750,서울특별시 도봉구 창동,도봉로110나길 5,37.64661125565,127.034354244749,4
1753,서울특별시 종로구 숭인동,종로56길 37,37.5714766400808,127.016495721599,1
1754,서울특별시 동대문구 휘경동,망우로21길 63,37.5899387701067,127.059469234178,3
1759,서울특별시 동대문구 장안동,한천로24길 74-9,37.5681827646549,127.068408298121,0
1766,서울특별시 종로구 창신동,종로 339-12,37.5735890496113,127.014941827261,2
1770,서울특별시 서초구 방배동,남부순환로 2201,37.4741803897218,126.993113629258,3
1773,서울특별시 영등포구 당산동6가,양평로 8,37.5325535619925,126.905198331912,3
1774,서울특별시 영등포구 양평동4가,선유로53길 7,37.5370150483081,126.897541562336,5
1776,서울특별시 송파구 석촌동,백제고분로39길 10-6,37.5053688817145,127.105310247441,4
1777,서울특별시 서초구 방배동,방배중앙로 208,37.4977112238589,126.985340639852,3
1779,서울특별시 관악구 봉천동,남부순환로 1798,37.4812917378912,126.949923176815,7
1783,서울특별시 관악구 봉천동,봉천로 348,37.4844005976281,126.938687307447,4
1791,서울특별시 강남구 역삼동,테헤란로7길 8,37.4997900799939,127.031119235961,6
1795,서울특별시 영등포구 양평동3가,양산로9길 15,37.526790955173,126.888600855285,1
1796,서울특별시 서초구 서초동,서초대로77길 59,37.5022759986541,127.023979346268,18
1798,서울특별시 영등포구 당산동,버드나루로23길 23-7,37.5289140743633,126.907261397115,3
1799,서울특별시 영등포구 양평동1가,영등포로13길 7,37.5232269052491,126.888933650475,4
1800,서울특별시 영등포구 양평동1가,영등포로13길 12-2,37.5234629575234,126.889402769182,4
1804,서울특별시 송파구 잠실동,도곡로64길 7-1,37.5055136529419,127.078463723775,0
1805,서울특별시 송파구 잠실동,삼전로7길 15,37.5054530509001,127.086908334954,4
1812,서울특별시 구로구 구로동,디지털로32다길 50,37.4809934240717,126.89862615608,3
1813,서울특별시 구로구 구로동,가마산로27길 52,37.4991276795567,126.890788830931,2
1814,서울특별시 구로구 오류동,경인로20가길 23,37.49587652676,126.845116949261,4
1815,서울특별시 금천구 독산동,범안로18길 8,37.4661591268959,126.89574742811,4
1824,서울특별시 구로구 오류동,경인로20나길 30,37.4948295171349,126.842024178038,5
1825,서울특별시 영등포구 영등포동2가,영등포로53길 32,37.5209606524577,126.90981217051,3
1827,서울특별시 영등포구 영등포동8가,영중로 134,37.5281614106824,126.906049100466,4
1833,서울특별시 강서구 마곡동,마곡중앙로 111,37.5638094509858,126.825417557789,0
1835,서울특별시 금천구 시흥동,금하로5길 13,37.4541001190964,126.898384659775,9
1839,서울특별시 은평구 응암동,은평로 123,37.6005519701322,126.921519128693,7
1840,서울특별시 은평구 대조동,통일로67길 12-10,37.6111989694336,126.927732135478,6
1841,서울특별시 강서구 등촌동,양천로 492,37.560875023018,126.854626804611,6
1842,서울특별시 강서구 등촌동,공항대로45길 95,37.5592256528038,126.856610754464,3
1847,서울특별시 은평구 대조동,진흥로 119-3,37.6076099487834,126.923414012714,3
1848,서울특별시 은평구 응암동,응암로 211-1,37.5909817362363,126.91691891067,5
1850,서울특별시 강서구 화곡동,강서로7길 52-3,37.529523035636,126.844622586466,2
1852,서울특별시 강서구 화곡동,곰달래로22길 27,37.5291072226991,126.844484860514,2
1854,서울특별시 강서구 등촌동,화곡로68길 149,37.556126496097,126.861825766383,2
1856,서울특별시 양천구 목동,목동서로 77,37.5359631978743,126.877988123429,3
1861,서울특별시 은평구 응암동,응암로29길 11-6,37.5962904399168,126.917649376898,7
1862,서울특별시 서대문구 연희동,연희로 183,37.5732989120278,126.935151022129,0
1867,서울특별시 은평구 역촌동,진흥로1길 16,37.601835403375,126.918814316899,4
1868,서울특별시 양천구 목동,공항대로 552,37.549554018744,126.866949534355,2
1871,서울특별시 은평구 신사동,은평로 14,37.597262846238,126.910073001233,7
1879,서울특별시 강동구 천호동,진황도로27가길 21,37.5393749679805,127.131133397252,2
1881,서울특별시 강동구 길동,양재대로111길 52,37.5378115952768,127.136892424779,2
1896,서울특별시 구로구 오류동,경인로20가길 11,37.4956483502265,126.844399456832,4
1898,서울특별시 금천구 시흥동,금하로5길 7,37.4541814319175,126.898642801731,10
1901,서울특별시 금천구 시흥동,시흥대로41길 49,37.4493395717727,126.901525409419,9
1902,서울특별시 성동구 마장동,마장로 276,37.5654474516129,127.0404069303,0
1908,서울특별시 관악구 봉천동,쑥고개로 43-1,37.4794058820677,126.941402985142,2
1909,서울특별시 관악구 봉천동,남부순환로224길 19,37.4800496757484,126.953394820446,7
1910,서울특별시 관악구 봉천동,관악로25길 17,37.4850173662412,126.954263142344,4
1911,서울특별시 관악구 봉천동,남부순환로 1811,37.4817481992415,126.951459046892,7
